,lor,lor1,lor2,lor3,lor4,street_id,street,sub_district,zip_code
0,04501148,04,50,11,48,1,Aachener Straße,Wilmd,10713
2,04300622,04,30,06,22,5,Abbestraße,Charl,10587
4,04100101,04,10,01,01,8793,Adam-von-Trott-Straße,CharN,13627
6,04200308,04,20,03,08,27,Ahornallee,Weste,14050
8,04200310,04,20,03,10,27,Ahornallee,Weste,14050
12,04400835,04,40,08,35,35,Ahrweilerstraße,Wilmd,14197
14,04200308,04,20,03,08,37,Akazienallee,Weste,14050
16,04500938,04,50,09,38,49,Albrecht-Achilles-Straße,Wilmd,10709
18,04500939,04,50,09,39,49,Albrecht-Achilles-Straße,Wilmd,10709
22,04200310,04,20,03,10,57,Alemannenallee,Weste,14052
24,04200207,04,20,02,07,76,Alte Allee,Weste,14055
26,04200309,04,20,03,09,80,Altenburger Allee,Weste,14050
28,04300619,04,30,06,19,94,Alt-Lietzow,Charl,10587
30,04400729,04,40,07,29,7103,Am Bahnhof Grunewald,Grune,14193
31,04400725,04,40,07,25,7103,Am Bahnhof Grunewald,Grune,14193
34,04400728,04,40,07,28,7103,Am Bahnhof Grunewald,Grune,14193
35,04300413,04,30,04,13,1828,Am Bahnhof Westend,Charl,14059
37,04200207,04,20,02,07,157,Am Fliederbusch,Weste,14055
39,04500939,04,50,09,39,5626,Am Güterbahnhof Halensee,Halen,10711
41,04500938,04,50,09,38,5626,Am Güterbahnhof Halensee,Halen,10711
43,04200203,04,20,02,03,171,Am Hain,Weste,13597
44,04100102,04,10,01,02,174,Am Heidebusch,CharN,13627
46,04200206,04,20,02,06,228,Am Postfenn,Weste,14055
47,04200207,04,20,02,07,228,Am Postfenn,Grune,14055
48,04200206,04,20,02,06,241,Am Rupenhorn,Weste,14055
50,04300624,04,30,06,24,244,Am Schillertheater,Charl,10625
51,04300518,04,30,05,18,252,Am Spreebord,Charl,10589
52,04200207,04,20,02,07,263,Am Vogelherd,Weste,14055
54,04501153,04,50,11,53,122,Am Volkspark,Wilmd,10715
56,04501151,04,50,11,51,122,Am Volkspark,Wilmd,10715
57,04501150,04,50,11,50,122,Am Volkspark,Wilmd,10715
58,04400831,04,40,08,31,251,Amselstraße,Schma,14195
60,06400844,06,40,08,44,251,Amselstraße,Dahle,14195
62,04300416,04,30,04,16,6912,Amtsgerichtsplatz,Charl,14057
63,04200203,04,20,02,03,285,An der Fließwiese,Weste,14052
65,04200204,04,20,02,04,308,Angerburger Allee,Weste,14055
67,04300619,04,30,06,19,329,Arcostraße,Charl,10587
69,04200205,04,20,02,05,348,Arysallee,Weste,14055
71,04501152,04,50,11,52,351,Aschaffenburger Straße,Wilmd,10779
73,07200307,07,20,03,07,351,Aschaffenburger Straße,Schön,10779
77,04400834,04,40,08,34,357,Aßmannshauser Straße,Wilmd,14197
79,04400835,04,40,08,35,357,Aßmannshauser Straße,Wilmd,14197
81,04400729,04,40,07,29,10802,Auerbachstraße,Grune,14193
83,04200207,04,20,02,07,10802,Auerbachstraße,Grune,14193
84,04501045,04,50,10,45,365,Augsburger Straße,Wilmd,10789
85,07100101,07,10,01,01,365,Augsburger Straße,Schön,10789
86,04501042,04,50,10,42,365,Augsburger Straße,Charl,10789
88,04400727,04,40,07,27,369,Auguste-Viktoria-Straße,Schma,14193
90,04400830,04,40,08,30,369,Auguste-Viktoria-Straße,Schma,14199
94,04400727,04,40,07,27,369,Auguste-Viktoria-Straße,Grune,14193
96,04400726,04,40,07,26,369,Auguste-Viktoria-Straße,Grune,14193
97,04501153,04,50,11,53,376,Babelsberger Straße,Wilmd,10715
99,04200310,04,20,03,10,383,Badenallee,Weste,14052
101,04200309,04,20,03,09,383,Badenallee,Weste,14052
105,07200307,07,20,03,07,385,Badensche Straße,Schön,10825
107,04501153,04,50,11,53,385,Badensche Straße,Wilmd,10715
109,04501150,04,50,11,50,385,Badensche Straße,Wilmd,10715
113,07200308,07,20,03,08,385,Badensche Straße,Schön,10825
115,04500939,04,50,09,39,403,Ballenstedter Straße,Wilmd,10709
117,04501045,04,50,10,45,407,Bamberger Straße,Wilmd,10777
119,04501152,04,50,11,52,407,Bamberger Straße,Wilmd,10779
121,07200307,07,20,03,07,407,Bamberger Straße,Schön,10779
123,07100101,07,10,01,01,407,Bamberger Straße,Schön,10777
125,04400726,04,40,07,26,11311,Baraschstraße,Grune,14193
127,07100204,07,10,02,04,413,Barbarossastraße,Schön,10781
129,07200307,07,20,03,07,413,Barbarossastraße,Schön,10779
131,04501152,04,50,11,52,413,Barbarossastraße,Wilmd,10779
137,04501146,04,50,11,46,424,Barstraße,Wilmd,10713
139,04501148,04,50,11,48,424,Barstraße,Wilmd,10713
143,04501043,04,50,10,43,449,Bayerische Straße,Wilmd,10707
144,04200310,04,20,03,10,451,Bayernallee,Weste,14052
146,04200309,04,20,03,09,451,Bayernallee,Weste,14052
150,04501146,04,50,11,46,456,Bechstedter Weg,Wilmd,10713
152,04300621,04,30,06,21,467,Behaimstraße,Charl,10585
154,04400835,04,40,08,35,7002,Bergheimer Platz,Wilmd,14197
156,04400835,04,40,08,35,495,Bergheimer Straße,Wilmd,14197
158,04400830,04,40,08,30,6926,Berkaer Platz,Schma,14199
160,04400830,04,40,08,30,506,Berkaer Straße,Schma,14199
162,04400727,04,40,07,27,506,Berkaer Straße,Schma,14193
166,04501152,04,50,11,52,509,Berliner Straße,Wilmd,10715
168,04501149,04,50,11,49,509,Berliner Straße,Wilmd,10715
170,04501147,04,50,11,47,509,Berliner Straße,Wilmd,10715
172,04501146,04,50,11,46,509,Berliner Straße,Wilmd,10713
174,04501150,04,50,11,50,509,Berliner Straße,Wilmd,10715
176,04501153,04,50,11,53,509,Berliner Straße,Wilmd,10715
178,04400729,04,40,07,29,514,Bernadottestraße,Grune,14193
180,04400831,04,40,08,31,514,Bernadottestraße,Schma,14195
182,06400844,06,40,08,44,514,Bernadottestraße,Dahle,14195
183,04100102,04,10,01,02,522,Bernhard-Lichtenberg-Straße,CharN,13627
184,04501153,04,50,11,53,523,Bernhardstraße,Wilmd,10715
186,04400728,04,40,07,28,540,Bettinastraße,Grune,14193
188,04400729,04,40,07,29,540,Bettinastraße,Grune,14193
190,04400832,04,40,08,32,545,Beverstedter Weg,Wilmd,14199
192,04400729,04,40,07,29,551,Bibersteig,Schma,14195
193,04200203,04,20,02,03,554,Biedermannweg,Weste,14052
195,04500939,04,50,09,39,555,Bielefelder Straße,Wilmd,10709
197,04400728,04,40,07,28,567,Bilsestraße,Grune,14193
199,04400834,04,40,08,34,570,Binger Straße,Wilmd,14197
201,04400726,04,40,07,26,582,Bismarckallee,Grune,14193
203,04400728,04,40,07,28,582,Bismarckallee,Grune,14193
205,04400726,04,40,07,26,6931,Bismarckplatz,Grune,14193
207,04300622,04,30,06,22,583,Bismarckstraße,Charl,10625
209,04300621,04,30,06,21,583,Bismarckstraße,Charl,10625
211,04300621,04,30,06,21,583,Bismarckstraße,Charl,10627
213,04300414,04,30,04,14,583,Bismarckstraße,Charl,10627
215,04300416,04,30,04,16,583,Bismarckstraße,Charl,10627
217,04300623,04,30,06,23,583,Bismarckstraße,Charl,10627
219,04300623,04,30,06,23,583,Bismarckstraße,Charl,10625
221,04300624,04,30,06,24,583,Bismarckstraße,Charl,10625
225,04200207,04,20,02,07,596,Bläulingsweg,Weste,14055
227,04300624,04,30,06,24,607,Bleibtreustraße,Charl,10623
229,04501041,04,50,10,41,607,Bleibtreustraße,Charl,10623
231,04501041,04,50,10,41,607,Bleibtreustraße,Charl,10707
237,04501146,04,50,11,46,610,Blissestraße,Wilmd,10713
238,04501150,04,50,11,50,610,Blissestraße,Wilmd,10713
239,04501148,04,50,11,48,610,Blissestraße,Wilmd,10713
240,04500939,04,50,09,39,616,Blüthgenstraße,Wilmd,10709
242,04200309,04,20,03,09,647,Bolivarallee,Weste,14050
243,04200308,04,20,03,08,647,Bolivarallee,Weste,14050
244,04300518,04,30,05,18,653,Bonhoefferufer,Charl,10589
246,04300517,04,30,05,17,653,Bonhoefferufer,Charl,10589
248,04400835,04,40,08,35,656,Bonner Straße,Wilmd,14197
250,04400832,04,40,08,32,666,Borkumer Straße,Wilmd,14199
252,04400832,04,40,08,32,666,Borkumer Straße,Schma,14199
254,04500937,04,50,09,37,673,Bornimer Straße,Halen,10711
256,04500937,04,50,09,37,675,Bornstedter Straße,Halen,10711
258,04200207,04,20,02,07,688,Boyenallee,Weste,14055
260,04501148,04,50,11,48,6936,Brabanter Platz,Wilmd,10713
262,04501148,04,50,11,48,691,Brabanter Straße,Wilmd,10713
264,04300517,04,30,05,17,693,Brahestraße,Charl,10589
266,04400728,04,40,07,28,694,Brahmsstraße,Grune,14193
268,04501147,04,50,11,47,699,Brandenburgische Straße,Wilmd,10713
270,04501043,04,50,10,43,699,Brandenburgische Straße,Wilmd,10707
272,04500938,04,50,09,38,699,Brandenburgische Straße,Wilmd,10707
274,04500939,04,50,09,39,699,Brandenburgische Straße,Wilmd,10707
276,04501146,04,50,11,46,699,Brandenburgische Straße,Wilmd,10713
278,04200308,04,20,03,08,6937,Branitzer Platz,Weste,14050
280,04300619,04,30,06,19,707,Brauhofstraße,Charl,10587
282,04200311,04,20,03,11,714,Bredtschneiderstraße,Weste,14057
284,04501043,04,50,10,43,715,Bregenzer Straße,Wilmd,10707
286,04400832,04,40,08,32,723,Breite Straße,Schma,14199
288,04400834,04,40,08,34,6939,Breitenbachplatz,Wilmd,14195
289,06400844,06,40,08,44,6939,Breitenbachplatz,Dahle,14195
290,06100101,06,10,01,01,6939,Breitenbachplatz,Stegl,14195
291,04501146,04,50,11,46,733,Brienner Straße,Wilmd,10713
293,04200309,04,20,03,09,6942,Brixplatz,Weste,14052
295,04200203,04,20,02,03,749,Brombeerweg,Weste,14052
296,04200205,04,20,02,05,751,Brontëweg,Weste,14055
297,04501153,04,50,11,53,753,Bruchsaler Straße,Wilmd,10715
299,04100101,04,10,01,01,6045,Buchholzweg,CharN,13627
301,01100101,01,10,01,01,785,Budapester Straße,Tierg,10787
303,01100102,01,10,01,02,785,Budapester Straße,Tierg,10787
304,04501042,04,50,10,42,785,Budapester Straße,Charl,10787
306,04501045,04,50,10,45,806,Bundesallee,Wilmd,10719
308,04501149,04,50,11,49,806,Bundesallee,Wilmd,10717
310,04501150,04,50,11,50,806,Bundesallee,Wilmd,10715
312,04501151,04,50,11,51,806,Bundesallee,Wilmd,10715
314,07300515,07,30,05,15,806,Bundesallee,Fried,12161
316,07300516,07,30,05,16,806,Bundesallee,Fried,12161
318,07300517,07,30,05,17,806,Bundesallee,Fried,12161
320,04501153,04,50,11,53,806,Bundesallee,Wilmd,10715
322,04501152,04,50,11,52,806,Bundesallee,Wilmd,10717
326,04501151,04,50,11,51,6945,Bundesplatz,Wilmd,10715
328,04501153,04,50,11,53,6945,Bundesplatz,Wilmd,10715
330,04400835,04,40,08,35,819,Burgunder Straße,Wilmd,14197
332,04200206,04,20,02,06,829,Byronweg,Weste,14055
334,04500939,04,50,09,39,839,Carionweg,Halen,10709
336,04400830,04,40,08,30,893,Cunostraße,Schma,14199
