key,lor,year,month,hour,weekday,ac_category,ac_type,is_car,latitude,longitude,district_LOR3,district_LOR2,district,distance_to_CC
112747-2018-3200206,03200206,2018,1,15,4,light_injured,other,False,52.58347153761393,13.403227969596598,032002,0320,03,7.157845034899433
112892-2018-3701660,03701660,2018,1,11,5,light_injured,other,True,52.53525525877755,13.432186281887645,037016,0370,03,2.5388602547263504
112902-2018-2500729,02500729,2018,1,8,2,light_injured,other,True,52.514173128437854,13.470896587722471,025007,0250,02,4.462912134673048
112921-2018-1100207,01100207,2018,1,19,4,light_injured,other,True,52.5108484577581,13.394673449642378,011002,0110,01,1.1887607763273238
112947-2018-9200613,09200613,2018,1,18,4,seriously_injured,other,True,52.45899296727292,13.506372166659586,092006,0920,09,9.572251902454532
112992-2018-2400625,02400625,2018,1,11,7,light_injured,other,False,52.50495533349049,13.44855444119347,024006,0240,02,3.3134340583305826
113009-2018-1100102,01100102,2018,1,8,3,light_injured,other,True,52.515912804318845,13.373030297563426,011001,0110,01,2.244708451137747
113235-2018-1100310,01100310,2018,1,12,2,light_injured,other,False,52.5234457148849,13.417693281906548,011003,0110,01,0.9452684275040377
113267-2018-3601451,03601451,2018,1,8,2,light_injured,other,False,52.536115927307826,13.433537462706278,036014,0360,03,2.6714062171753263
113277-2018-2500727,02500727,2018,1,8,5,light_injured,other,True,52.51883086211474,13.453670058463908,025007,0250,02,3.258837901769087
113314-2018-2400521,02400521,2018,1,8,5,seriously_injured,other,True,52.51764210503167,13.436527470753436,024005,0240,02,2.101838397746032
113324-2018-7200411,07200411,2018,1,6,3,deadly,other,False,52.48690005121837,13.357186281570753,072004,0720,07,4.871072835990938
113425-2018-3701660,03701660,2018,1,11,6,light_injured,other,True,52.53209046076696,13.428509205722033,037016,0370,03,2.114891065139246
113473-2018-7300619,07300619,2018,1,16,5,seriously_injured,other,True,52.479704520952744,13.353232747169917,073006,0730,07,5.653285264005822
113484-2018-7501133,07501133,2018,1,10,4,seriously_injured,other,True,52.42985298855452,13.375945866446777,075011,0750,07,10.141359726106646
113516-2018-1100310,01100310,2018,1,6,3,light_injured,other,True,52.52346812936881,13.417718712379186,011003,0110,01,0.9480170549034022
113631-2018-2500727,02500727,2018,1,10,7,seriously_injured,other,True,52.51509809019788,13.460259548764787,025007,0250,02,3.7336073991518024
113820-2018-10400837,10400837,2018,1,15,5,light_injured,other,True,52.505078992276005,13.579946955646836,104008,1040,10,11.935631276721418
113844-2018-9200613,09200613,2018,1,8,2,light_injured,other,True,52.45581365140709,13.510905418164949,092006,0920,09,10.040031797832407
113855-2018-12400723,12400723,2018,1,6,5,light_injured,other,True,52.62762084573412,13.311320405233259,124007,1240,12,13.659021562257935
114018-2018-1100310,01100310,2018,11,18,2,light_injured,turn_in,True,52.5221995228802,13.415931434246847,011003,0110,01,0.7743874577773725
114019-2018-7200308,07200308,2018,8,19,5,light_injured,other,True,52.480103143396505,13.352133033570441,072003,0720,07,5.666512673293309
114021-2018-1100206,01100206,2018,10,22,6,light_injured,other,True,52.51731745346889,13.394623874208877,011002,0110,01,0.7771716218833826
114023-2018-2500728,02500728,2018,4,19,2,seriously_injured,turn_in,False,52.51475407796451,13.46511440856416,025007,0250,02,4.065400072573818
114025-2018-10300733,10300733,2018,5,14,4,seriously_injured,other,True,52.50882798515646,13.556285309509551,103007,1030,10,10.28989649229513
114039-2018-7100206,07100206,2018,4,21,4,light_injured,turn_in,True,52.49088683737818,13.360697758931256,071002,0710,07,4.384594730201834
114040-2018-7601236,07601236,2018,3,17,1,light_injured,other,True,52.413642016860486,13.361783991058646,076012,0760,07,12.11494380059271
114046-2018-7501030,07501030,2018,8,17,6,light_injured,other,True,52.44208694000627,13.386544288099426,075010,0750,07,8.67474916812346
114051-2018-2400522,02400522,2018,5,18,5,light_injured,other,False,52.516605818670016,13.446792252689484,024005,0240,02,2.8063069100560747
114057-2018-2500727,02500727,2018,7,15,7,light_injured,other,False,52.51810940301773,13.45341896330081,025007,0250,02,3.243734147303874
114059-2018-2400625,02400625,2018,5,18,6,light_injured,other,False,52.50502826901655,13.448599241840688,024006,0240,02,3.312243034952307
