key,year,half_year,lor,total_population,-6,6-15,15-18,18-27,27-45,45-55,55-65,65+,percentage_per_lor
01100101-2022-2,2022,2,01100101,3561,165,209,25,395,1271,375,403,718,0.09247407492815146
01100102-2022-2,2022,2,01100102,2002,113,129,27,174,764,274,262,259,0.051989075542308125
01100103-2022-2,2022,2,01100103,5662,282,326,102,741,1791,653,747,1020,0.14703403882145283
01100104-2022-2,2022,2,01100104,5029,260,397,137,801,1886,601,554,393,0.13059593451661716
01100205-2022-2,2022,2,01100205,3009,147,178,52,390,1122,331,319,470,0.0781394247286739
01100206-2022-2,2022,2,01100206,1915,100,112,41,190,652,280,248,292,0.049729810021738284
01100207-2022-2,2022,2,01100207,8801,484,517,140,777,3259,1000,1040,1584,0.22854937754638052
01100308-2022-2,2022,2,01100308,7384,441,476,115,674,3173,1046,711,748,0.19175191498721436
01100309-2022-2,2022,2,01100309,12559,664,918,342,1214,4588,2124,1629,1080,0.3261392606073165
01100310-2022-2,2022,2,01100310,10332,525,580,167,1108,4140,1250,1058,1504,0.2683072569945692
01100311-2022-2,2022,2,01100311,9649,511,712,171,1181,2862,887,994,2331,0.2505707242296359
01100312-2022-2,2022,2,01100312,10213,611,593,134,889,3934,1104,1084,1864,0.2652169972595369
01100313-2022-2,2022,2,01100313,11160,605,689,177,1397,4040,1304,1233,1715,0.2898092322937855
01100414-2022-2,2022,2,01100414,5556,502,438,106,465,2850,621,325,249,0.14428137048604592
01100415-2022-2,2022,2,01100415,13339,768,1108,338,1410,5115,2289,1464,847,0.3463947445848392
01100416-2022-2,2022,2,01100416,13527,864,1157,328,1050,5476,2399,1316,937,0.35127683559480616
01200517-2022-2,2022,2,01200517,4078,242,318,97,600,1626,414,466,315,0.10589982520556071
01200518-2022-2,2022,2,01200518,6970,363,434,138,1215,2757,751,665,647,0.1810009273376062
01200519-2022-2,2022,2,01200519,9533,479,644,209,1315,3696,1070,999,1121,0.24755837020220944
01200520-2022-2,2022,2,01200520,9548,457,592,160,1301,3538,1054,1215,1231,0.24794789874023876
01200521-2022-2,2022,2,01200521,5307,263,397,143,781,1959,593,559,612,0.13781519675475984
01200522-2022-2,2022,2,01200522,11621,568,727,254,1260,3610,1355,1729,2118,0.30178074269588545
01200623-2022-2,2022,2,01200623,10969,599,707,223,1495,4472,1233,1203,1037,0.2848492355762127
01200624-2022-2,2022,2,01200624,6504,534,422,90,765,3577,528,303,285,0.16889957408949652
01200625-2022-2,2022,2,01200625,6970,368,624,198,900,2261,830,752,1037,0.1810009273376062
01200626-2022-2,2022,2,01200626,5949,281,350,102,630,2032,750,776,1028,0.1544870181824131
01200627-2022-2,2022,2,01200627,3424,262,388,113,430,925,353,411,542,0.08891638094748402
01200628-2022-2,2022,2,01200628,3275,165,190,65,324,1129,474,431,497,0.08504706413639315
01200629-2022-2,2022,2,01200629,5956,224,266,90,969,1797,644,706,1260,0.15466879816682677
01300730-2022-2,2022,2,01300730,7967,510,841,249,1217,2616,941,824,769,0.20689159083195244
01300731-2022-2,2022,2,01300731,8826,537,775,269,1291,3091,983,903,977,0.22919859177642932
01300732-2022-2,2022,2,01300732,9949,717,948,301,1346,3515,1191,949,982,0.25836129499022153
01300733-2022-2,2022,2,01300733,11658,664,1096,339,1518,4089,1492,1215,1245,0.3027415797563577
01300834-2022-2,2022,2,01300834,14379,1060,1619,546,1744,4371,1729,1494,1816,0.37340205655486935
01300835-2022-2,2022,2,01300835,10872,625,982,281,1673,3075,1230,1240,1766,0.2823302843636233
01300836-2022-2,2022,2,01300836,15051,929,1343,447,2236,5341,1801,1463,1491,0.3908529350585812
01400937-2022-2,2022,2,01400937,10885,556,712,239,1262,3515,1285,1510,1806,0.2826678757632487
01400938-2022-2,2022,2,01400938,9695,493,650,219,1162,3738,1089,1063,1281,0.25176527841292573
01400939-2022-2,2022,2,01400939,6003,358,407,117,774,2237,666,660,784,0.1558893209193185
01400940-2022-2,2022,2,01400940,6882,478,522,119,588,1822,786,983,1584,0.1787156932478344
01400941-2022-2,2022,2,01400941,3898,220,217,59,383,965,374,486,1194,0.10122548274920933
01400942-2022-2,2022,2,01400942,8746,452,532,180,1292,3461,972,949,908,0.22712110624027315
01401043-2022-2,2022,2,01401043,7768,436,633,245,1207,2522,908,867,950,0.201723845560764
01401044-2022-2,2022,2,01401044,10274,643,881,285,1350,3900,1205,992,1018,0.266801079980856
01401045-2022-2,2022,2,01401045,5682,373,536,161,831,2101,674,547,459,0.1475534102054919
01401046-2022-2,2022,2,01401046,8933,511,502,162,1278,3789,928,930,833,0.23197722868103818
01401047-2022-2,2022,2,01401047,8054,457,551,193,1486,3349,821,636,561,0.20915085635252229
01401048-2022-2,2022,2,01401048,9488,473,619,192,1559,3682,1066,999,898,0.24638978458812164
01401049-2022-2,2022,2,01401049,6787,365,474,157,790,2168,753,872,1208,0.17624867917364898
02100101-2022-2,2022,2,02100101,6923,398,602,186,924,2549,883,699,682,0.17978040458511446
02100102-2022-2,2022,2,02100102,8816,542,842,322,1276,2655,1116,976,1087,0.2289389060844098
02100103-2022-2,2022,2,02100103,5521,360,532,183,657,1795,687,657,650,0.1433724705639776
02100104-2022-2,2022,2,02100104,5723,376,506,195,742,1710,822,709,663,0.1486181215427719
02100105-2022-2,2022,2,02100105,9512,516,872,293,1173,2961,1283,1111,1303,0.24701303024896848
02100106-2022-2,2022,2,02100106,4962,233,461,205,569,1474,675,674,671,0.12885604038008636
02200207-2022-2,2022,2,02200207,2406,208,246,35,159,921,272,207,358,0.06248037749989677
02200208-2022-2,2022,2,02200208,5845,298,458,150,637,1920,802,817,763,0.15178628698541008
02200209-2022-2,2022,2,02200209,10908,612,864,243,939,4014,1559,1413,1264,0.2832651528548936
02200210-2022-2,2022,2,02200210,12221,662,842,248,1156,4555,1653,1702,1403,0.31736188421705674
02200211-2022-2,2022,2,02200211,14783,770,897,322,1615,4888,2109,2345,1837,0.38389335851245804
02200212-2022-2,2022,2,02200212,8510,525,744,216,843,2937,1205,1115,925,0.22099252390861243
02200213-2022-2,2022,2,02200213,10173,524,687,195,964,3922,1390,1307,1184,0.2641782544914588
02300314-2022-2,2022,2,02300314,7376,337,509,178,745,2430,1160,1074,943,0.19154416643359876
02300315-2022-2,2022,2,02300315,8484,442,625,238,948,2851,1271,1200,909,0.22031734110936171
02300316-2022-2,2022,2,02300316,4220,182,322,98,386,1465,628,576,563,0.1095873620322379
02300417-2022-2,2022,2,02300417,8171,383,627,195,783,3099,1276,935,873,0.21218917894915068
02300418-2022-2,2022,2,02300418,7755,387,520,150,734,2947,1217,983,817,0.2013862541611386
