0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,Aachener Straße,1,,45,,U,4,50,11,48,Wilmd,10713,,charlottenburg-wilmdersdorf
1,Aachener Straße,2,,44,,G,4,50,11,48,Wilmd,10713,,charlottenburg-wilmdersdorf
5,Abbestraße,1,,19,,U,4,30,6,22,Charl,10587,,charlottenburg-wilmdersdorf
5,Abbestraße,2,,12,,G,4,30,6,22,Charl,10587,,charlottenburg-wilmdersdorf
8793,Adam-von-Trott-Straße,1,,7,,U,4,10,1,1,CharN,13627,,charlottenburg-wilmdersdorf
8793,Adam-von-Trott-Straße,2,,10,,G,4,10,1,1,CharN,13627,,charlottenburg-wilmdersdorf
27,Ahornallee,2,,16,,G,4,20,3,8,Weste,14050,,charlottenburg-wilmdersdorf
27,Ahornallee,3,,17,,U,4,20,3,8,Weste,14050,,charlottenburg-wilmdersdorf
27,Ahornallee,18,,36,,G,4,20,3,10,Weste,14050,,charlottenburg-wilmdersdorf
27,Ahornallee,19,,37,A,U,4,20,3,10,Weste,14050,,charlottenburg-wilmdersdorf
27,Ahornallee,39,,57,,U,4,20,3,8,Weste,14050,,charlottenburg-wilmdersdorf
27,Ahornallee,40,,56,,G,4,20,3,8,Weste,14050,,charlottenburg-wilmdersdorf
35,Ahrweilerstraße,1,,35,,U,4,40,8,35,Wilmd,14197,,charlottenburg-wilmdersdorf
35,Ahrweilerstraße,2,,36,,G,4,40,8,35,Wilmd,14197,,charlottenburg-wilmdersdorf
37,Akazienallee,1,,63,,U,4,20,3,8,Weste,14050,,charlottenburg-wilmdersdorf
37,Akazienallee,2,,64,,G,4,20,3,8,Weste,14050,,charlottenburg-wilmdersdorf
49,Albrecht-Achilles-Straße,2,,8,,G,4,50,9,38,Wilmd,10709,,charlottenburg-wilmdersdorf
49,Albrecht-Achilles-Straße,3,,7,,U,4,50,9,38,Wilmd,10709,,charlottenburg-wilmdersdorf
49,Albrecht-Achilles-Straße,9,,57,,U,4,50,9,39,Wilmd,10709,,charlottenburg-wilmdersdorf
49,Albrecht-Achilles-Straße,10,,56,,G,4,50,9,39,Wilmd,10709,,charlottenburg-wilmdersdorf
49,Albrecht-Achilles-Straße,58,,64,,G,4,50,9,38,Wilmd,10709,,charlottenburg-wilmdersdorf
49,Albrecht-Achilles-Straße,59,,65,C,U,4,50,9,38,Wilmd,10709,,charlottenburg-wilmdersdorf
57,Alemannenallee,2,,10,,G,4,20,3,10,Weste,14052,,charlottenburg-wilmdersdorf
