0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
6081,Adalbertstraße,1,,11,,U,2,30,3,14,Kreuz,10999,,friedrichshain-kreuzberg
6081,Adalbertstraße,2,,10,,G,2,30,3,14,Kreuz,10999,,friedrichshain-kreuzberg
6081,Adalbertstraße,13,,23,B,U,2,30,3,14,Kreuz,10997,,friedrichshain-kreuzberg
6081,Adalbertstraße,14,,22,,G,2,30,3,14,Kreuz,10997,,friedrichshain-kreuzberg
6081,Adalbertstraße,24,,66,,G,1,10,3,13,Mitte,10179,J,friedrichshain-kreuzberg
6081,Adalbertstraße,25,,65,,U,1,10,3,13,Mitte,10179,J,friedrichshain-kreuzberg
6081,Adalbertstraße,67,,89,,U,2,30,3,14,Kreuz,10997,,friedrichshain-kreuzberg
6081,Adalbertstraße,68,,90,,G,2,30,3,14,Kreuz,10997,,friedrichshain-kreuzberg
6081,Adalbertstraße,91,,97,,U,2,30,3,14,Kreuz,10999,,friedrichshain-kreuzberg
6081,Adalbertstraße,92,,98,,G,2,30,3,14,Kreuz,10999,,friedrichshain-kreuzberg
16,Admiralstraße,1,,37,,U,2,10,1,6,Kreuz,10999,,friedrichshain-kreuzberg
16,Admiralstraße,2,,38,,G,2,10,1,6,Kreuz,10999,,friedrichshain-kreuzberg
6082,Alexandrinenstraße,1,,15,,U,2,10,1,5,Kreuz,10969,,friedrichshain-kreuzberg
6082,Alexandrinenstraße,2,,12,,G,2,10,1,5,Kreuz,10969,,friedrichshain-kreuzberg
6082,Alexandrinenstraße,30,,48,,G,2,10,1,4,Kreuz,10969,,friedrichshain-kreuzberg
6082,Alexandrinenstraße,31,,49,,U,2,10,1,4,Kreuz,10969,,friedrichshain-kreuzberg
6082,Alexandrinenstraße,55,,55,,U,1,10,3,12,Mitte,10179,J,friedrichshain-kreuzberg
6082,Alexandrinenstraße,56,,56,,G,1,10,3,12,Mitte,10179,J,friedrichshain-kreuzberg
6082,Alexandrinenstraße,91,,101,A,U,2,10,1,3,Kreuz,10969,,friedrichshain-kreuzberg
6082,Alexandrinenstraße,92,,100,,G,2,10,1,3,Kreuz,10969,,friedrichshain-kreuzberg
6082,Alexandrinenstraße,115,,123,,U,2,10,1,5,Kreuz,10969,,friedrichshain-kreuzberg
6082,Alexandrinenstraße,116,,124,,G,2,10,1,5,Kreuz,10969,,friedrichshain-kreuzberg
6082,Alexandrinenstraße,125,,125,,U,2,10,1,3,Kreuz,10969,,friedrichshain-kreuzberg
6082,Alexandrinenstraße,128,,128,,G,2,10,1,3,Kreuz,10969,,friedrichshain-kreuzberg
6082,Alexandrinenstraße,130,,130,,G,2,10,1,6,Kreuz,10969,,friedrichshain-kreuzberg
8771,Alte Brauerei,1,,23,,U,2,20,2,9,Kreuz,10965,,friedrichshain-kreuzberg
8771,Alte Brauerei,2,,24,,G,2,20,2,9,Kreuz,10965,,friedrichshain-kreuzberg
6083,Alte Jakobstraße,4,,20,,G,2,10,1,3,Kreuz,10969,,friedrichshain-kreuzberg
6083,Alte Jakobstraße,13,,19,,U,2,10,1,3,Kreuz,10969,,friedrichshain-kreuzberg
6083,Alte Jakobstraße,40,,46,,G,2,10,1,4,Kreuz,10969,,friedrichshain-kreuzberg
6083,Alte Jakobstraße,45,,45,,U,2,10,1,4,Kreuz,10969,,friedrichshain-kreuzberg
6083,Alte Jakobstraße,48,,102,,G,1,10,3,12,Mitte,10179,J,friedrichshain-kreuzberg
6083,Alte Jakobstraße,49,,101,,U,1,10,3,12,Mitte,10179,J,friedrichshain-kreuzberg
6083,Alte Jakobstraße,105,,167,,U,2,10,1,3,Kreuz,10969,,friedrichshain-kreuzberg
6083,Alte Jakobstraße,110,,168,,G,2,10,1,3,Kreuz,10969,,friedrichshain-kreuzberg
