0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
44843,Alt-Friedrichsfelde,87,,127,A,U,11,40,10,32,Frife,10315,,lichtenberg
44843,Alt-Friedrichsfelde,88,,126,,G,11,40,10,32,Frife,10315,,lichtenberg
10848,Alzeyweg,2,,44,,G,11,30,7,25,Liber,10365,,lichtenberg
10875,Am Ahornweg,12,,84,,G,11,10,1,1,Wartb,13059,,lichtenberg
10875,Am Ahornweg,13,,85,,U,11,10,1,1,Wartb,13059,,lichtenberg
10877,Am Akazienweg,262,,352,,G,11,10,1,1,Wartb,13059,,lichtenberg
10877,Am Akazienweg,263,,351,,U,11,10,1,1,Wartb,13059,,lichtenberg
11115,Am alten Flugplatz,100,,100,,G,11,50,13,40,Karlh,10318,,lichtenberg
43923,Am Berl,2,,26,,G,11,10,3,7,NHohs,13051,,lichtenberg
43923,Am Berl,13,,25,,U,11,10,3,7,NHohs,13051,,lichtenberg
9383,Am Birkenrevier,2,,18,,G,11,50,13,41,Karlh,10318,,lichtenberg
43887,Am Breiten Luch,2,,52,,G,11,10,3,9,NHohs,13053,,lichtenberg
43887,Am Breiten Luch,3,,67,,U,11,10,3,9,NHohs,13053,,lichtenberg
10945,Am Bremsenwerk,1,,1,,U,11,40,9,27,Rumbg,10317,,lichtenberg
9301,Am Carlsgarten,5,,9,,U,11,50,13,41,Karlh,10318,,lichtenberg
9301,Am Carlsgarten,6,,16,,G,11,50,13,41,Karlh,10318,,lichtenberg
9299,Am Dörferweg,2,,44,,G,11,10,1,2,Falkb,13057,,lichtenberg
9299,Am Dörferweg,11,,25,,U,11,10,1,2,Falkb,13057,,lichtenberg
40099,Am Faulen See,1,,117,,U,11,20,4,10,AHohs,13053,,lichtenberg
40099,Am Faulen See,2,,10,,G,11,20,4,11,AHohs,13053,,lichtenberg
40099,Am Faulen See,20,,114,,G,11,20,4,10,AHohs,13053,,lichtenberg
9307,Am Gehrensee,2,,46,,G,11,10,1,2,Falkb,13057,,lichtenberg
10506,Am Genossenschaftsring,3,,29,,U,11,10,1,1,Wartb,13059,,lichtenberg
10506,Am Genossenschaftsring,4,,30,,G,11,10,1,1,Wartb,13059,,lichtenberg
44811,Am Graben,1,,9,,U,11,50,13,40,Karlh,10318,,lichtenberg
44811,Am Graben,2,,16,B,G,11,50,13,40,Karlh,10318,,lichtenberg
8960,Am Gutshof,1,,57,,U,11,10,1,1,Wartb,13059,,lichtenberg
8960,Am Gutshof,2,,58,,G,11,10,1,1,Wartb,13059,,lichtenberg
10913,Am Gutspark,2,,8,,G,11,30,7,22,Liber,10367,,lichtenberg
10913,Am Gutspark,5,,9,,U,11,30,7,22,Liber,10367,,lichtenberg
10878,Am Hechtgraben,77,,91,,U,11,10,1,1,Wartb,13059,,lichtenberg
10878,Am Hechtgraben,78,,78,,G,11,10,1,1,Wartb,13059,,lichtenberg
11100,Am Herzbergteich,1,,45,,U,11,30,7,21,Liber,10315,,lichtenberg
11100,Am Herzbergteich,42,,48,,G,11,30,7,21,Liber,10315,,lichtenberg
9997,Am Kletterplatz,3,,9,,U,11,10,1,1,Wartb,13059,,lichtenberg
9997,Am Kletterplatz,8,,10,,G,11,10,1,1,Wartb,13059,,lichtenberg
8959,Am Lindenplatz,1,,23,,U,11,40,11,36,Frife,10319,,lichtenberg
8959,Am Lindenplatz,2,,24,,G,11,40,11,36,Frife,10319,,lichtenberg
10876,Am Lindenweg,169,,259,,U,11,10,1,1,Wartb,13059,,lichtenberg
10876,Am Lindenweg,170,,260,,G,11,10,1,1,Wartb,13059,,lichtenberg
9093,Am Rheinischen Viertel,1,,31,,U,11,50,13,40,Karlh,10318,,lichtenberg
9093,Am Rheinischen Viertel,2,,32,,G,11,50,13,40,Karlh,10318,,lichtenberg
44499,Am Sandberg,2,,26,,G,11,50,13,40,Karlh,10318,,lichtenberg
44499,Am Sandberg,5,,27,,U,11,50,13,40,Karlh,10318,,lichtenberg
10507,Am Schilf,1,,9,,U,11,10,1,1,Wartb,13059,,lichtenberg
10507,Am Schilf,6,,10,,G,11,10,1,1,Wartb,13059,,lichtenberg
40143,Am Stadtpark,1,,15,,U,11,30,7,22,Liber,10367,,lichtenberg
40143,Am Stadtpark,2,,18,,G,11,30,7,22,Liber,10367,,lichtenberg
40148,Am Tierpark,2,,28,,G,11,40,9,31,Frife,10315,,lichtenberg
40148,Am Tierpark,32,,126,,G,11,40,11,37,Frife,10319,,lichtenberg
40148,Am Tierpark,33,,135,,U,11,40,10,34,Frife,10319,,lichtenberg
40152,Am Walde,1,,3,,U,11,50,13,41,Karlh,10318,,lichtenberg
40152,Am Walde,2,,4,,G,11,50,13,41,Karlh,10318,,lichtenberg
9996,Am Wartenberger Luch,3,,41,,U,11,10,1,1,Wartb,13059,,lichtenberg
9996,Am Wartenberger Luch,4,,32,,G,11,10,1,1,Wartb,13059,,lichtenberg
5205,Am Wasserwerk,11,,33,,U,11,30,7,21,Liber,10365,,lichtenberg
5205,Am Wasserwerk,14,,36,,G,11,30,7,21,Liber,10365,,lichtenberg
40156,Am Weihenhorst,3,,7,,U,11,50,13,41,Karlh,10318,,lichtenberg
40156,Am Weihenhorst,4,,6,,G,11,50,13,41,Karlh,10318,,lichtenberg
9314,An den Auen,1,,73,,U,11,10,1,2,Falkb,13057,,lichtenberg
9314,An den Auen,2,,44,,G,11,10,1,2,Falkb,13057,,lichtenberg
8987,An den Knabenhäusern,2,,68,,G,11,50,12,38,Rumbg,10317,,lichtenberg
8449,An der Bucht,35,,71,,U,11,50,12,38,Rumbg,10317,,lichtenberg
8449,An der Bucht,60,,70,,G,11,50,12,38,Rumbg,10317,,lichtenberg
11061,An der Hansekogge,1,,49,,U,11,40,10,33,Frife,10315,,lichtenberg
9382,An der Karlshorster Heide,1,,47,,U,11,50,13,41,Karlh,10318,,lichtenberg
9382,An der Karlshorster Heide,6,,58,,G,11,50,13,41,Karlh,10318,,lichtenberg
8552,An der Margaretenhöhe,1,,65,,U,11,10,1,1,Wartb,13051,,lichtenberg
8552,An der Margaretenhöhe,2,,2,,G,11,10,1,1,Wartb,13051,,lichtenberg
11264,An der Mole,1,,9,,U,11,50,12,38,Rumbg,10317,,lichtenberg
11260,An der Waldsiedlung,1,,7,,U,11,50,13,41,Karlh,10318,,lichtenberg
40171,Andernacher Straße,1,,11,A,U,11,50,13,40,Karlh,10318,,lichtenberg
40171,Andernacher Straße,2,,12,A,G,11,50,13,40,Karlh,10318,,lichtenberg
43801,Anna-Ebermann-Straße,1,,25,,U,11,20,4,10,AHohs,13053,,lichtenberg
43801,Anna-Ebermann-Straße,2,,26,,G,11,20,4,10,AHohs,13053,,lichtenberg
10957,Anna-Maria-Müller-Straße,1,,85,,U,11,20,4,10,AHohs,13053,,lichtenberg
40189,Annemariestraße,1,,3,,U,11,20,5,12,AHohs,13053,,lichtenberg
40189,Annemariestraße,2,,4,,G,11,20,5,12,AHohs,13053,,lichtenberg
11071,Anni-Frid-Weg,2,,32,,G,11,20,5,15,AHohs,13055,,lichtenberg
43795,Anton-Saefkow-Platz,1,,13,,U,11,30,6,17,Fenpf,10369,,lichtenberg
43795,Anton-Saefkow-Platz,4,,14,,G,11,30,6,17,Fenpf,10369,,lichtenberg
40207,Arberstraße,2,,60,C,G,11,50,13,40,Karlh,10318,,lichtenberg
40207,Arberstraße,3,,73,,U,11,50,13,40,Karlh,10318,,lichtenberg
40208,Archenholdstraße,1,,95,,U,11,40,9,30,Frife,10315,,lichtenberg
40208,Archenholdstraße,2,,102,,G,11,40,9,29,Frife,10315,,lichtenberg
40209,Archibaldweg,1,,1,,U,11,40,9,28,Rumbg,10317,,lichtenberg
40209,Archibaldweg,2,,12,,G,11,40,9,28,Rumbg,10317,,lichtenberg
40209,Archibaldweg,18,,40,,G,11,40,9,29,Rumbg,10317,,lichtenberg
40210,Arendsweg,1,,29,,U,11,20,5,14,AHohs,13055,,lichtenberg
40210,Arendsweg,2,,52,,G,11,20,5,15,AHohs,13055,,lichtenberg
40210,Arendsweg,41,,71,,U,11,20,5,15,AHohs,13055,,lichtenberg
40212,Aristotelessteig,2,,24,,G,11,50,13,39,Karlh,10318,,lichtenberg
