0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
40004,Achardstraße,1,,29,,U,10,40,8,37,Kauld,12621,,marzahn-hellersdorf
40004,Achardstraße,2,,32,,G,10,40,8,37,Kauld,12621,,marzahn-hellersdorf
44831,Adele-Sandrock-Straße,1,,113,,U,10,20,5,24,Helld,12627,,marzahn-hellersdorf
44831,Adele-Sandrock-Straße,8,,106,,G,10,20,5,24,Helld,12627,,marzahn-hellersdorf
43847,Adersleber Weg,1,,7,,U,10,10,3,15,Marza,12685,,marzahn-hellersdorf
43847,Adersleber Weg,4,,18,,G,10,10,3,15,Marza,12685,,marzahn-hellersdorf
40014,Adolf-Menzel-Straße,1,,77,,U,10,40,8,37,Kauld,12621,,marzahn-hellersdorf
40014,Adolf-Menzel-Straße,2,,78,,G,10,40,8,37,Kauld,12621,,marzahn-hellersdorf
40015,Adolfstraße,1,,35,B,U,10,40,8,36,Kauld,12621,,marzahn-hellersdorf
40015,Adolfstraße,2,,36,A,G,10,40,8,36,Kauld,12621,,marzahn-hellersdorf
44035,Adorfer Straße,1,,13,,U,10,20,5,26,Helld,12627,,marzahn-hellersdorf
44035,Adorfer Straße,2,,12,,G,10,20,5,26,Helld,12627,,marzahn-hellersdorf
40022,Ahornallee,1,,55,A,U,10,40,9,41,Mahld,12623,,marzahn-hellersdorf
40022,Ahornallee,2,,56,,G,10,40,9,41,Mahld,12623,,marzahn-hellersdorf
40025,Ahornstraße,1,,7,,U,10,40,8,37,Kauld,12621,,marzahn-hellersdorf
40025,Ahornstraße,2,,10,,G,10,40,8,37,Kauld,12621,,marzahn-hellersdorf
40027,Ahrensfelder Chaussee,1,,165,,U,11,10,1,2,Falkb,13057,J,marzahn-hellersdorf
40027,Ahrensfelder Chaussee,26,,162,B,G,10,10,1,1,Marza,12689,,marzahn-hellersdorf
40027,Ahrensfelder Chaussee,173,,177,,U,10,10,1,2,Marza,12689,,marzahn-hellersdorf
40029,Ährenweg,1,,49,,U,10,30,7,31,Biesd,12683,,marzahn-hellersdorf
40029,Ährenweg,2,,50,,G,10,30,7,31,Biesd,12683,,marzahn-hellersdorf
40031,Akazienallee,1,,35,,U,10,40,9,41,Mahld,12623,,marzahn-hellersdorf
40031,Akazienallee,2,,34,,G,10,40,9,41,Mahld,12623,,marzahn-hellersdorf
40036,Alberichstraße,2,,138,,G,10,30,7,34,Biesd,12683,,marzahn-hellersdorf
40036,Alberichstraße,3,,135,,U,10,30,7,34,Biesd,12683,,marzahn-hellersdorf
