0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
6082,Alexandrinenstraße,92,,100,,G,2,10,1,3,Kreuz,10969,J,mitte
6082,Alexandrinenstraße,115,,123,,U,2,10,1,5,Kreuz,10969,J,mitte
6082,Alexandrinenstraße,116,,124,,G,2,10,1,5,Kreuz,10969,J,mitte
6082,Alexandrinenstraße,125,,125,,U,2,10,1,3,Kreuz,10969,J,mitte
6082,Alexandrinenstraße,128,,128,,G,2,10,1,3,Kreuz,10969,J,mitte
6082,Alexandrinenstraße,130,,130,,G,2,10,1,6,Kreuz,10969,J,mitte
10652,Alex-Wedding-Straße,3,,7,,U,1,10,3,10,Mitte,10178,,mitte
8542,Alice-Berend-Straße,1,,5,,U,1,20,6,28,Moabi,10557,,mitte
40051,Almstadtstraße,2,,52,,G,1,10,3,10,Mitte,10119,,mitte
40051,Almstadtstraße,3,,57,,U,1,10,3,10,Mitte,10119,,mitte
6083,Alte Jakobstraße,4,,20,,G,2,10,1,3,Kreuz,10969,J,mitte
6083,Alte Jakobstraße,13,,19,,U,2,10,1,3,Kreuz,10969,J,mitte
6083,Alte Jakobstraße,40,,46,,G,2,10,1,4,Kreuz,10969,J,mitte
6083,Alte Jakobstraße,45,,45,,U,2,10,1,4,Kreuz,10969,J,mitte
6083,Alte Jakobstraße,48,,102,,G,1,10,3,12,Mitte,10179,,mitte
6083,Alte Jakobstraße,49,,101,,U,1,10,3,12,Mitte,10179,,mitte
6083,Alte Jakobstraße,105,,167,,U,2,10,1,3,Kreuz,10969,J,mitte
6083,Alte Jakobstraße,110,,168,,G,2,10,1,3,Kreuz,10969,J,mitte
6083,Alte Jakobstraße,169,,173,,U,2,10,1,5,Kreuz,10969,J,mitte
6083,Alte Jakobstraße,170,,172,,G,2,10,1,5,Kreuz,10969,J,mitte
9216,Alte Leipziger Straße,4,,40,,G,1,10,2,7,Mitte,10117,,mitte
8231,Alte Potsdamer Straße,1,,13,,U,1,10,1,2,Tierg,10785,,mitte
40067,Alte Schönhauser Straße,2,,30,,G,1,10,3,9,Mitte,10119,,mitte
40067,Alte Schönhauser Straße,3,,31,,U,1,10,3,9,Mitte,10119,,mitte
40067,Alte Schönhauser Straße,32,,60,,G,1,10,3,10,Mitte,10119,,mitte
40067,Alte Schönhauser Straße,33,,61,,U,1,10,3,10,Mitte,10119,,mitte
99,Alt-Moabit,2,,2,,G,1,20,6,28,Moabi,10557,,mitte
99,Alt-Moabit,5,,5,,U,1,20,6,28,Moabi,10557,,mitte
99,Alt-Moabit,9,,9,,U,1,20,6,27,Moabi,10557,,mitte
99,Alt-Moabit,10,,10,,G,1,20,6,27,Moabi,10557,,mitte
99,Alt-Moabit,12,,24,,G,1,20,6,26,Moabi,10559,,mitte
99,Alt-Moabit,13,,25,,U,1,20,6,26,Moabi,10559,,mitte
99,Alt-Moabit,34,,58,,G,1,20,5,21,Moabi,10555,,mitte
99,Alt-Moabit,35,,57,,U,1,20,5,21,Moabi,10555,,mitte
99,Alt-Moabit,59,,65,,U,1,20,5,17,Moabi,10555,,mitte
99,Alt-Moabit,60,,64,,G,1,20,5,17,Moabi,10555,,mitte
99,Alt-Moabit,70,,86,B,G,1,20,5,22,Moabi,10555,,mitte
99,Alt-Moabit,71,,85,,U,1,20,5,22,Moabi,10555,,mitte
99,Alt-Moabit,87,,119,,U,1,20,6,26,Moabi,10559,,mitte
99,Alt-Moabit,88,,120,,G,1,20,6,26,Moabi,10559,,mitte
99,Alt-Moabit,121,,145,,U,1,20,6,28,Moabi,10557,,mitte
