0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
24,Agnes-Straub-Weg,1,,5,,U,8,30,10,37,Grops,12353,,neukoelln
24,Agnes-Straub-Weg,2,,22,,G,8,30,10,37,Grops,12353,,neukoelln
43,Albersweilerweg,1,,61,,U,8,20,8,32,Buckw,12349,,neukoelln
43,Albersweilerweg,6,,52,,G,8,20,8,32,Buckw,12349,,neukoelln
5836,Alfred-Rojek-Weg,5,,63,,U,8,40,12,43,Rudow,12355,,neukoelln
5836,Alfred-Rojek-Weg,6,,18,,G,8,40,12,43,Rudow,12355,,neukoelln
61,Allerstraße,1,,47,,U,8,10,1,3,Neukö,12049,,neukoelln
61,Allerstraße,2,,46,,G,8,10,1,3,Neukö,12049,,neukoelln
72,Alt-Britz,15,,115,,U,8,20,7,26,Britz,12359,,neukoelln
72,Alt-Britz,18,,112,,G,8,20,7,26,Britz,12359,,neukoelln
73,Alt-Buckow,1,,59,,U,8,20,8,32,Buckw,12349,,neukoelln
73,Alt-Buckow,2,,58,A,G,8,20,8,32,Buckw,12349,,neukoelln
79,Altenbraker Straße,1,,19,,U,8,10,2,8,Neukö,12053,,neukoelln
79,Altenbraker Straße,2,,20,,G,8,10,2,8,Neukö,12053,,neukoelln
79,Altenbraker Straße,21,,31,,U,8,10,2,8,Neukö,12051,,neukoelln
79,Altenbraker Straße,22,,32,,G,8,10,2,8,Neukö,12051,,neukoelln
103,Altrader Weg,18,,30,,G,8,40,12,46,Rudow,12355,,neukoelln
103,Altrader Weg,21,,29,,U,8,40,12,46,Rudow,12355,,neukoelln
3857,Alt-Rudow,1,,57,,U,8,40,12,43,Rudow,12357,,neukoelln
3857,Alt-Rudow,2,,58,,G,8,40,12,43,Rudow,12357,,neukoelln
3857,Alt-Rudow,59,,73,,U,8,40,12,43,Rudow,12355,,neukoelln
3857,Alt-Rudow,60,,74,,G,8,40,12,43,Rudow,12355,,neukoelln
5165,Am Appelhorst,2,,28,,G,8,20,8,33,Buckw,12353,,neukoelln
5165,Am Appelhorst,3,,29,,U,8,20,8,33,Buckw,12353,,neukoelln
5689,Am Bergpfuhl,1,,21,,U,8,20,7,25,Britz,12347,,neukoelln
5689,Am Bergpfuhl,4,,28,,G,8,20,7,25,Britz,12347,,neukoelln
5637,Am Brandpfuhl,2,,24,,G,8,20,7,25,Britz,12347,,neukoelln
8868,Am Britzer Garten,1,,27,,U,8,20,7,25,Britz,12347,,neukoelln
8868,Am Britzer Garten,2,,30,,G,8,20,7,25,Britz,12347,,neukoelln
5169,Am Buschfeld,1,,19,,U,8,20,8,33,Buckw,12353,,neukoelln
5169,Am Buschfeld,2,,18,,G,8,20,8,33,Buckw,12353,,neukoelln
5742,Am Eichenquast,5,,81,,U,8,20,8,33,Buckw,12353,,neukoelln
5742,Am Eichenquast,6,,62,,G,8,20,8,33,Buckw,12353,,neukoelln
151,Am Espenpfuhl,1,,153,,U,8,40,12,46,Rudow,12355,,neukoelln
151,Am Espenpfuhl,4,,150,,G,8,40,12,46,Rudow,12355,,neukoelln
8817,Am Großen Rohrpfuhl,1,,29,,U,8,40,12,44,Rudow,12355,,neukoelln
8817,Am Großen Rohrpfuhl,4,,38,,G,8,40,12,44,Rudow,12355,,neukoelln
5196,Am Hanffgraben,3,,7,,U,8,40,12,43,Rudow,12357,,neukoelln
5196,Am Hanffgraben,4,,8,,G,8,40,12,43,Rudow,12357,,neukoelln
5711,Am Irissee,1,,53,,U,8,20,7,29,Britz,12349,,neukoelln
5711,Am Irissee,2,,28,,G,8,20,7,29,Britz,12349,,neukoelln
5636,Am Kienpfuhl,1,,37,,U,8,20,7,25,Britz,12347,,neukoelln
5636,Am Kienpfuhl,2,,36,,G,8,20,7,25,Britz,12347,,neukoelln
195,Am Klarpfuhl,1,,41,,U,8,40,12,46,Rudow,12355,,neukoelln
195,Am Klarpfuhl,2,,42,,G,8,40,12,46,Rudow,12355,,neukoelln
209,Am Mickelbruch,3,,7,,U,8,20,6,23,Britz,12347,,neukoelln
209,Am Mickelbruch,4,,10,,G,8,20,6,23,Britz,12347,,neukoelln
11281,Am Mühlanger,1,,21,,U,8,20,8,32,Buckw,12349,,neukoelln
214,Am Oberhafen,2,,2,,G,8,10,5,21,Neukö,12057,,neukoelln
10727,Am Römersgrün,1,,53,,U,8,20,7,29,Britz,12347,,neukoelln
10727,Am Römersgrün,6,,18,,G,8,20,7,29,Britz,12347,,neukoelln
235,Am Rötepfuhl,4,,24,,G,8,20,8,32,Buckw,12349,,neukoelln
235,Am Rötepfuhl,5,,35,,U,8,20,8,32,Buckw,12349,,neukoelln
8824,Am Rudower Waldrand,21,,67,,U,8,40,12,42,Rudow,12355,,neukoelln
8824,Am Rudower Waldrand,22,,68,,G,8,40,12,42,Rudow,12355,,neukoelln
256,Am Straßenbahnhof,21,,61,,U,8,20,6,24,Britz,12347,,neukoelln
256,Am Straßenbahnhof,24,,60,,G,8,20,6,24,Britz,12347,,neukoelln
10518,Am Sudhaus,1,,3,,U,8,10,2,6,Neukö,12053,,neukoelln
10518,Am Sudhaus,2,,2,,G,8,10,2,6,Neukö,12053,,neukoelln
222,Ampferweg,2,,10,,G,8,40,12,41,Rudow,12357,,neukoelln
280,An den Achterhöfen,1,,63,,U,8,20,8,32,Buckw,12349,,neukoelln
280,An den Achterhöfen,2,,62,,G,8,20,8,32,Buckw,12349,,neukoelln
11282,An den Buckower Feldern,1,,19,,U,8,20,8,32,Buckw,12349,,neukoelln
11282,An den Buckower Feldern,4,,18,,G,8,20,8,32,Buckw,12349,,neukoelln
10516,An den Feldern,1,,7,,U,8,20,8,32,Buckw,12349,,neukoelln
10516,An den Feldern,2,,18,,G,8,20,8,32,Buckw,12349,,neukoelln
11284,An den Weiden,1,,19,,U,8,20,8,32,Buckw,12349,,neukoelln
5224,An der Nachtbucht,7,,19,,U,8,40,12,43,Rudow,12355,,neukoelln
5224,An der Nachtbucht,8,,22,,G,8,40,12,43,Rudow,12355,,neukoelln
11046,An der Neumark,1,,93,,U,8,20,7,29,Britz,12347,,neukoelln
11046,An der Neumark,12,,66,,G,8,20,7,29,Britz,12347,,neukoelln
5382,An der Rudower Höhe,28,,34,,G,8,40,12,46,Rudow,12355,,neukoelln
5382,An der Rudower Höhe,29,,31,,U,8,40,12,46,Rudow,12355,,neukoelln
304,Andreasberger Straße,1,,19,,U,8,20,6,24,Britz,12347,,neukoelln
304,Andreasberger Straße,2,,20,,G,8,20,6,24,Britz,12347,,neukoelln
8617,Andreas-Hermes-Siedlung,2,,8,,G,8,40,12,44,Rudow,12355,,neukoelln
