0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
40001,Aalesunder Straße,1,,11,,U,3,60,11,39,Prenz,10439,,pankow
40001,Aalesunder Straße,2,,10,,G,3,60,11,39,Prenz,10439,,pankow
8610,Abajstraße,2,,2,,G,3,20,2,5,Roset,13158,,pankow
8610,Abajstraße,3,,13,,U,3,20,2,5,Roset,13158,,pankow
6431,Achillesstraße,1,,107,,U,3,30,4,11,Karow,13125,,pankow
6431,Achillesstraße,14,,120,,G,3,30,4,11,Karow,13125,,pankow
40006,Achtermannstraße,1,,63,,U,3,40,7,24,Panko,13187,,pankow
40006,Achtermannstraße,2,,62,,G,3,40,7,24,Panko,13187,,pankow
6442,Achtrutenberg,2,A,54,,G,3,30,4,11,Karow,13125,,pankow
6442,Achtrutenberg,5,,57,,U,3,30,4,11,Karow,13125,,pankow
10823,Affensteinweg,1,,95,,U,3,20,2,5,Roset,13158,,pankow
10823,Affensteinweg,2,,10,,G,3,20,2,5,Roset,13158,,pankow
8704,Agnes-Wabnitz-Straße,3,,9,,U,3,60,14,53,Prenz,10249,,pankow
8704,Agnes-Wabnitz-Straße,6,,10,,G,3,60,14,53,Prenz,10249,,pankow
40019,Ahlbecker Straße,1,,21,,U,3,60,13,48,Prenz,10437,,pankow
40019,Ahlbecker Straße,2,,22,,G,3,60,13,48,Prenz,10437,,pankow
40020,Ahornallee,1,,35,,U,3,30,5,14,Blanb,13129,,pankow
40023,Ahornallee,1,,9,,U,3,20,2,5,Roset,13158,,pankow
40020,Ahornallee,2,,34,,G,3,30,5,14,Blanb,13129,,pankow
40023,Ahornallee,4,,8,,G,3,20,2,5,Roset,13158,,pankow
40030,Aidastraße,7,,23,,U,3,30,5,16,Heind,13089,,pankow
40030,Aidastraße,8,,22,,G,3,30,5,16,Heind,13089,,pankow
40032,Akazienallee,1,,13,,U,3,20,2,5,Roset,13158,,pankow
40032,Akazienallee,2,,14,,G,3,20,2,5,Roset,13158,,pankow
40035,Akkordeonweg,1,,65,,U,3,20,2,7,FrzBu,13127,,pankow
40035,Akkordeonweg,2,,66,,G,3,20,2,7,FrzBu,13127,,pankow
40037,Albertinenstraße,1,,27,,U,3,50,9,33,Weißs,13086,,pankow
40037,Albertinenstraße,2,,28,,G,3,50,9,33,Weißs,13086,,pankow
11094,Alpenberger Straße,1,,23,,U,3,10,1,2,Buch,13125,,pankow
11094,Alpenberger Straße,2,,24,,G,3,10,1,2,Buch,13125,,pankow
40053,Alpnacher Weg,1,,13,,U,3,30,5,16,Heind,13089,,pankow
40053,Alpnacher Weg,2,,14,,G,3,30,5,16,Heind,13089,,pankow
10524,Alsaceweg,1,,5,,U,3,20,2,4,Blanf,13159,,pankow
10524,Alsaceweg,2,,8,,G,3,20,2,4,Blanf,13159,,pankow
10829,Altarsteinweg,2,,8,,G,3,20,2,5,Roset,13158,,pankow
10829,Altarsteinweg,3,,9,,U,3,20,2,5,Roset,13158,,pankow
40056,Alt-Blankenburg,1,,71,B,U,3,30,5,14,Blanb,13129,,pankow
40056,Alt-Blankenburg,2,,70,,G,3,30,5,14,Blanb,13129,,pankow
40057,Alt-Buch,32,,74,,G,3,10,1,2,Buch,13125,,pankow
40057,Alt-Buch,37,,71,,U,3,10,1,2,Buch,13125,,pankow
40060,Altenberger Weg,1,,31,,U,3,20,2,5,Nieds,13156,,pankow
40060,Altenberger Weg,2,,30,,G,3,20,2,5,Nieds,13156,,pankow
40061,Altenescher Weg,2,,34,,G,3,60,14,50,Prenz,10407,,pankow
40061,Altenescher Weg,7,,31,A,U,3,60,14,50,Prenz,10407,,pankow
40074,Alt-Karow,1,,29,,U,3,30,4,13,Karow,13125,,pankow
40074,Alt-Karow,2,,30,,G,3,30,4,13,Karow,13125,,pankow
40074,Alt-Karow,31,,61,,U,3,30,4,12,Karow,13125,,pankow
40074,Alt-Karow,32,,60,,G,3,30,4,12,Karow,13125,,pankow
3733,Am Bürgerpark,1,,13,,U,12,10,1,2,Reind,13156,J,pankow
3733,Am Bürgerpark,2,,14,,G,12,10,1,2,Reind,13156,J,pankow
3733,Am Bürgerpark,15,,21,,U,3,40,6,20,Nieds,13156,,pankow
3733,Am Bürgerpark,22,,24,,G,3,40,6,20,Nieds,13156,,pankow
40095,Am Danewend,1,,37,,U,3,30,4,12,Karow,13125,,pankow
40095,Am Danewend,2,,40,,G,3,30,4,12,Karow,13125,,pankow
6467,Am Elsebrocken,1,,27,,U,3,30,4,11,Karow,13125,,pankow
40098,Am Falkplatz,1,,5,,U,3,60,11,42,Prenz,10437,,pankow
40098,Am Falkplatz,2,,4,,G,3,60,11,42,Prenz,10437,,pankow
8751,Am Feuchten Winkel,11,,11,,U,3,40,8,31,Panko,13129,,pankow
40102,Am Fließ,2,,12,,G,3,30,5,15,Blanb,13129,,pankow
40102,Am Fließ,3,,51,,U,3,30,5,14,Blanb,13129,,pankow
40103,Am Friedrichshain,1,,35,,U,3,70,16,60,Prenz,10407,,pankow
40103,Am Friedrichshain,2,,34,,G,3,70,16,60,Prenz,10407,,pankow
40106,Am Graben,28,,28,,G,3,30,5,17,StaMa,13088,,pankow
40106,Am Graben,35,,51,,U,3,30,5,17,StaMa,13088,,pankow
40109,Am Heimenstein,1,,11,,U,3,30,5,17,StaMa,13088,,pankow
40109,Am Heimenstein,8,,10,,G,3,30,5,17,StaMa,13088,,pankow
7243,Am Hohen Feld,51,,73,,U,3,30,4,13,Karow,13125,,pankow
7243,Am Hohen Feld,52,,74,,G,3,30,4,13,Karow,13125,,pankow
7243,Am Hohen Feld,77,,129,,U,3,30,4,11,Karow,13125,,pankow
7243,Am Hohen Feld,78,,130,,G,3,30,4,11,Karow,13125,,pankow
40110,Am Iderfenngraben,1,,49,,U,3,20,2,6,Nieds,13156,,pankow
40110,Am Iderfenngraben,4,,48,,G,3,20,2,6,Nieds,13156,,pankow
40110,Am Iderfenngraben,50,,98,,G,3,40,6,20,Nieds,13156,,pankow
40110,Am Iderfenngraben,51,,99,C,U,3,40,6,20,Nieds,13156,,pankow
10643,Am Igelgrund,1,,9,,U,3,20,2,5,Roset,13158,,pankow
10643,Am Igelgrund,2,,6,,G,3,20,2,5,Roset,13158,,pankow
40112,Am Kiebitzpfuhl,1,,9,A,U,3,30,4,12,Karow,13125,,pankow
40112,Am Kiebitzpfuhl,2,,16,,G,3,30,4,12,Karow,13125,,pankow
9450,Am Kirschgarten,1,,57,,U,3,20,3,8,FrzBu,13127,,pankow
9450,Am Kirschgarten,2,,52,,G,3,20,3,8,FrzBu,13127,,pankow
8863,Am Konsulat,1,,15,,U,3,20,2,6,Nieds,13156,,pankow
8863,Am Konsulat,2,,16,,G,3,20,2,6,Nieds,13156,,pankow
11075,Am Märchenbrunnen,5,,11,,U,3,70,16,60,Prenz,10407,,pankow
10644,Am Meisenwinkel,2,,2,,G,3,20,2,5,Roset,13158,,pankow
10644,Am Meisenwinkel,3,,3,,U,3,20,2,5,Roset,13158,,pankow
10642,Am Orangeriepark,1,,15,,U,3,20,2,6,Nieds,13156,,pankow
10642,Am Orangeriepark,2,,14,,G,3,20,2,6,Nieds,13156,,pankow
8978,Am Posseberg,3,,31,,U,3,10,1,1,Buch,13127,,pankow
8978,Am Posseberg,6,,36,,G,3,10,1,1,Buch,13127,,pankow
40131,Am Rollberg,1,,43,,U,3,20,2,5,Roset,13158,,pankow
40131,Am Rollberg,2,,52,,G,3,20,2,5,Roset,13158,,pankow
40134,Am Sandhaus,2,,38,,G,3,10,1,1,Buch,13125,,pankow
40134,Am Sandhaus,5,,31,,U,3,10,1,1,Buch,13125,,pankow
40136,Am Schloßpark,2,,34,,G,3,40,7,24,Panko,13187,,pankow
40136,Am Schloßpark,31,,37,,U,3,40,7,25,Nieds,13187,,pankow
9225,Am Schweizer Garten,1,,75,,U,3,70,16,60,Prenz,10407,,pankow
