0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
9,Ackerplanweg,2,,24,,G,12,50,8,24,Tegel,13509,,reinickendorf
9,Ackerplanweg,3,,17,,U,12,50,8,24,Tegel,13509,,reinickendorf
14,Adelheidallee,1,,19,,U,12,20,5,15,Tegel,13507,,reinickendorf
14,Adelheidallee,4,,4,,G,12,20,5,15,Tegel,13507,,reinickendorf
20,Aegirstraße,1,,11,,U,12,10,1,1,Reind,13409,,reinickendorf
20,Aegirstraße,2,,10,,G,12,10,1,1,Reind,13409,,reinickendorf
6103,AEG-Siedlung Heimat,29,,43,,U,12,50,9,29,Lübar,13469,,reinickendorf
6103,AEG-Siedlung Heimat,30,,44,,G,12,50,9,29,Lübar,13469,,reinickendorf
10921,AEG-Straße,1,,27,,U,12,50,9,29,Lübar,13469,,reinickendorf
10921,AEG-Straße,2,,28,,G,12,50,9,29,Lübar,13469,,reinickendorf
23,Agathenweg,1,,3,,U,12,50,8,24,Tegel,13509,,reinickendorf
55,Albtalweg,1,,25,,U,12,50,9,28,Waidm,13469,,reinickendorf
55,Albtalweg,2,,26,,G,12,50,9,28,Waidm,13469,,reinickendorf
59,Alemannenstraße,1,,113,,U,12,40,7,20,Frohn,13465,,reinickendorf
59,Alemannenstraße,2,,114,,G,12,40,7,20,Frohn,13465,,reinickendorf
5527,Allée St. Exupéry,25,,45,,U,12,20,4,12,Tegel,13405,,reinickendorf
5527,Allée St. Exupéry,36,,36,,G,12,20,4,12,Tegel,13405,,reinickendorf
63,Allmendeweg,1,,123,,U,12,50,8,24,Tegel,13509,,reinickendorf
63,Allmendeweg,2,,122,,G,12,50,8,24,Tegel,13509,,reinickendorf
64,Almazeile,1,,3,G,U,12,40,6,16,Konhö,13505,,reinickendorf
64,Almazeile,2,,12,,G,12,40,6,16,Konhö,13505,,reinickendorf
65,Almutstraße,1,,7,,U,12,40,7,23,Hermd,13467,,reinickendorf
65,Almutstraße,2,,4,,G,12,40,7,23,Hermd,13467,,reinickendorf
74,Altdammer Weg,2,,20,,G,12,40,6,18,Heils,13503,,reinickendorf
74,Altdammer Weg,9,,23,,U,12,40,6,18,Heils,13503,,reinickendorf
82,Altenhofer Weg,6,,22,,G,12,50,8,25,Borwa,13509,,reinickendorf
82,Altenhofer Weg,7,,23,,U,12,50,8,24,Tegel,13509,,reinickendorf
5650,Alter Bernauer Heerweg,31,,59,,U,12,50,9,29,Lübar,13469,,reinickendorf
5650,Alter Bernauer Heerweg,44,,64,,G,12,50,9,29,Lübar,13469,,reinickendorf
10743,Alter Wiesenweg,11,,127,,U,12,20,4,14,Tegel,13629,,reinickendorf
86,Alt-Heiligensee,2,,114,,G,12,40,6,17,Heils,13503,,reinickendorf
86,Alt-Heiligensee,11,,111,,U,12,40,6,17,Heils,13503,,reinickendorf
87,Alt-Hermsdorf,1,,45,,U,12,40,7,23,Hermd,13467,,reinickendorf
87,Alt-Hermsdorf,2,,44,,G,12,40,7,23,Hermd,13467,,reinickendorf
95,Alt-Lübars,1,,39,,U,12,50,9,29,Lübar,13469,,reinickendorf
95,Alt-Lübars,2,,38,A,G,12,50,9,29,Lübar,13469,,reinickendorf
104,Alt-Reinickendorf,1,,61,,U,12,10,2,5,Reind,13407,,reinickendorf
104,Alt-Reinickendorf,2,,62,,G,12,10,2,5,Reind,13407,,reinickendorf
107,Alt-Tegel,1,,51,,U,12,20,5,15,Tegel,13507,,reinickendorf
107,Alt-Tegel,2,,44,,G,12,20,5,15,Tegel,13507,,reinickendorf
110,Alt-Wittenau,8,,34,,G,12,50,9,26,Wittn,13437,,reinickendorf
110,Alt-Wittenau,9,,33,,U,12,50,9,26,Wittn,13437,,reinickendorf
110,Alt-Wittenau,35,,63,D,U,12,50,9,27,Wittn,13437,,reinickendorf
