0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2,Aalemannufer,1,,31,,U,5,10,1,1,Haken,13587,,spandau
2,Aalemannufer,4,,14,,G,5,10,1,1,Haken,13587,,spandau
7,Achenbachstraße,5,,15,,U,5,10,3,15,Spand,13585,,spandau
7,Achenbachstraße,6,,14,,G,5,10,3,15,Spand,13585,,spandau
11,Ackerstraße,2,,2,,G,5,10,3,12,Spand,13585,,spandau
11,Ackerstraße,3,,3,,U,5,10,3,12,Spand,13585,,spandau
11,Ackerstraße,5,,37,,U,5,10,3,15,Spand,13585,,spandau
11,Ackerstraße,6,,36,A,G,5,10,3,15,Spand,13585,,spandau
11,Ackerstraße,38,,40,,G,5,10,3,12,Spand,13585,,spandau
11,Ackerstraße,39,,41,,U,5,10,3,12,Spand,13585,,spandau
13,Adamstraße,1,,21,,U,5,20,6,30,Wilst,13595,,spandau
13,Adamstraße,2,,24,,G,5,20,6,30,Wilst,13595,,spandau
13,Adamstraße,27,,27,,U,5,20,6,33,Wilst,13595,,spandau
13,Adamstraße,28,,28,,G,5,20,6,33,Wilst,13595,,spandau
13,Adamstraße,29,,49,,U,5,20,6,30,Wilst,13595,,spandau
13,Adamstraße,30,,48,,G,5,20,6,30,Wilst,13595,,spandau
7964,Adelheid-Poninska-Straße,1,,27,,U,5,20,5,24,Staak,13591,,spandau
15,Adickesstraße,5,,65,,U,5,30,7,36,Hasel,13599,,spandau
15,Adickesstraße,18,,64,,G,5,30,7,36,Hasel,13599,,spandau
5853,Ahlbeerensteig,1,,15,,U,5,20,4,18,Staak,13591,,spandau
5853,Ahlbeerensteig,2,,12,,G,5,20,4,18,Staak,13591,,spandau
28,Ahornallee,2,,40,,G,5,40,9,43,Klado,14089,,spandau
28,Ahornallee,3,,39,,U,5,40,9,43,Klado,14089,,spandau
36,Aiblinger Weg,1,,33,,U,5,40,9,43,Klado,14089,,spandau
36,Aiblinger Weg,2,,36,,G,5,40,9,43,Klado,14089,,spandau
40,Akazienweg,1,,3,,U,5,10,1,1,Haken,13587,,spandau
40,Akazienweg,2,,4,,G,5,10,1,1,Haken,13587,,spandau
8838,Albrecht-Berblinger-Straße,1,,29,,U,5,40,9,43,Klado,14089,,spandau
8838,Albrecht-Berblinger-Straße,4,,30,,G,5,40,9,43,Klado,14089,,spandau
9328,Albrechtshofer Weg,4,,36,C,G,5,10,2,7,Staak,13591,,spandau
9328,Albrechtshofer Weg,5,,35,E,U,5,10,2,7,Staak,13591,,spandau
8539,Alfons-Loewe-Straße,1,,17,,U,5,10,2,7,Staak,13591,,spandau
8539,Alfons-Loewe-Straße,2,,18,,G,5,10,2,7,Staak,13591,,spandau
85,Alt-Gatow,1,,75,,U,5,40,9,42,Gatow,14089,,spandau
85,Alt-Gatow,2,,54,,G,5,40,9,42,Gatow,14089,,spandau
91,Alt-Kladow,1,,13,,U,5,40,9,44,Klado,14089,,spandau
91,Alt-Kladow,2,,22,,G,5,40,9,44,Klado,14089,,spandau
91,Alt-Kladow,17,,23,,U,5,40,9,45,Klado,14089,,spandau
91,Alt-Kladow,25,,25,,U,5,40,9,43,Klado,14089,,spandau
101,Altonaer Straße,2,,116,,G,5,20,6,29,Spand,13581,,spandau
101,Altonaer Straße,3,,115,,U,5,20,6,29,Spand,13581,,spandau
102,Alt-Pichelsdorf,1,,41,,U,5,20,6,34,Wilst,13595,,spandau
102,Alt-Pichelsdorf,6,A,40,,G,5,20,6,34,Wilst,13595,,spandau
106,Altstädter Ring,1,,15,,U,5,10,3,16,Spand,13597,,spandau
106,Altstädter Ring,20,,20,,G,5,10,3,16,Spand,13597,,spandau
8424,Am alten Gaswerk,2,,6,,G,5,20,4,21,Staak,13591,,spandau
8424,Am alten Gaswerk,3,,3,,U,5,20,4,22,Staak,13591,,spandau
8820,Am Bahnhof Spandau,3,,3,,U,5,20,6,29,Spand,13581,,spandau
129,Am Berghang,6,,58,,G,5,40,9,42,Gatow,14089,,spandau
129,Am Berghang,27,,47,,U,5,40,9,42,Gatow,14089,,spandau
3984,Am Bogen,4,,42,,G,5,10,2,8,FalFe,13589,,spandau
3984,Am Bogen,5,,39,,U,5,10,2,8,FalFe,13589,,spandau
9397,Am Bootshaus,1,,37,,U,5,10,3,13,Haken,13587,,spandau
9397,Am Bootshaus,6,,24,,G,5,10,3,13,Haken,13587,,spandau
11068,Am Carolinenhof,3,,11,,U,5,40,9,44,Klado,14089,,spandau
11068,Am Carolinenhof,6,,6,,G,5,40,9,44,Klado,14089,,spandau
8648,Am Donnerberg,1,,99,,U,5,40,9,43,Klado,14089,,spandau
143,Am Dorfwald,1,,11,L,U,5,40,9,43,Klado,14089,,spandau
143,Am Dorfwald,6,,6,A,G,5,40,9,43,Klado,14089,,spandau
155,Am Finkenherd,1,,49,,U,5,10,2,8,FalFe,13589,,spandau
155,Am Finkenherd,2,,50,,G,5,10,2,8,FalFe,13589,,spandau
8644,Am Flugplatz Gatow,10,,36,,G,5,40,9,43,Klado,14089,,spandau
8644,Am Flugplatz Gatow,33,,33,,U,5,40,9,43,Klado,14089,,spandau
161,Am Forstacker,2,,32,,G,5,10,1,2,Haken,13587,,spandau
161,Am Forstacker,5,,35,,U,5,10,1,2,Haken,13587,,spandau
8630,Am Fort,1,,33,,U,5,20,5,24,Staak,13591,,spandau
8630,Am Fort,2,,8,,G,5,20,5,24,Staak,13591,,spandau
8630,Am Fort,24,,68,,G,5,20,5,25,Staak,13591,,spandau
8630,Am Fort,35,,53,,U,5,20,5,25,Staak,13591,,spandau
8269,Am Haselluch,1,,9,,U,5,10,1,1,Haken,13587,,spandau
8269,Am Haselluch,2,,2,,G,5,10,1,1,Haken,13587,,spandau
8735,Am Havelgarten,1,,85,,U,5,30,7,35,Hasel,13599,,spandau
8735,Am Havelgarten,34,,86,,G,5,30,7,35,Hasel,13599,,spandau
6572,Am Havelufer,1,,15,,U,5,40,9,42,Gatow,14089,,spandau
6572,Am Havelufer,2,,30,,G,5,40,9,42,Gatow,14089,,spandau
173,Am Heideberg,1,,53,,U,5,20,4,19,Staak,13591,,spandau
173,Am Heideberg,4,,54,,G,5,20,4,19,Staak,13591,,spandau
178,Am Heimhort,1,,9,C,U,5,10,2,10,FalFe,13583,,spandau
184,Am Hüllepfuhl,1,,67,,U,5,10,2,8,FalFe,13589,,spandau
184,Am Hüllepfuhl,2,,70,,G,5,10,2,8,FalFe,13589,,spandau
186,Am Juliusturm,2,,68,,G,5,30,7,36,Hasel,13599,,spandau
186,Am Juliusturm,5,,79,,U,5,30,7,36,Hasel,13599,,spandau
186,Am Juliusturm,87,,105,A,U,5,10,3,16,Spand,13597,,spandau
186,Am Juliusturm,104,,106,,G,5,10,3,16,Spand,13597,,spandau
192,Am Kiefernhang,1,,29,,U,5,40,9,42,Gatow,14089,,spandau
192,Am Kiefernhang,4,,30,,G,5,40,9,42,Gatow,14089,,spandau
6182,Am Kiesteich,7,,7,,U,5,10,2,11,Staak,13591,,spandau
6182,Am Kiesteich,11,,17,,U,5,10,2,8,FalFe,13591,,spandau
6182,Am Kiesteich,14,,26,,G,5,10,2,8,FalFe,13591,,spandau
6182,Am Kiesteich,23,,63,,U,5,10,2,8,FalFe,13589,,spandau
6182,Am Kiesteich,28,,54,,G,5,10,2,8,FalFe,13589,,spandau
194,Am Kinderdorf,21,,55,,U,5,40,9,42,Gatow,14089,,spandau
194,Am Kinderdorf,22,,48,,G,5,40,9,42,Gatow,14089,,spandau
390,Am Kirchenland,4,,4,,G,5,10,2,8,FalFe,13589,,spandau
9286,Am Kladower Wäldchen,1,,39,,U,5,40,9,45,Klado,14089,,spandau
9286,Am Kladower Wäldchen,2,,24,,G,5,40,9,45,Klado,14089,,spandau
6911,Am Kleinen Platz,2,,24,,G,5,20,4,19,Staak,13591,,spandau
