0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
3,Aarauer Straße,2,,40,,G,6,30,6,32,Lifel,12205,,steglitz-zehlendorf
3,Aarauer Straße,3,,41,,U,6,30,6,32,Lifel,12205,,steglitz-zehlendorf
4,Aarberger Straße,7,,17,,U,6,30,6,32,Lifel,12205,,steglitz-zehlendorf
4,Aarberger Straße,8,,18,,G,6,30,6,32,Lifel,12205,,steglitz-zehlendorf
8,Achenseeweg,3,,93,,U,6,20,4,23,Lifel,12209,,steglitz-zehlendorf
8,Achenseeweg,4,,98,,G,6,20,4,23,Lifel,12209,,steglitz-zehlendorf
1326,Adolf-Martens-Straße,1,,21,,U,6,30,6,29,Lifel,12205,,steglitz-zehlendorf
1326,Adolf-Martens-Straße,2,,16,A,G,6,30,6,29,Lifel,12205,,steglitz-zehlendorf
18,Adolfstraße,1,,27,,U,6,30,5,28,Zehld,14165,,steglitz-zehlendorf
19,Adolfstraße,1,,17,,U,6,10,2,7,Stegl,12167,,steglitz-zehlendorf
19,Adolfstraße,2,,18,,G,6,10,2,7,Stegl,12167,,steglitz-zehlendorf
18,Adolfstraße,8,,20,,G,6,30,5,28,Zehld,14165,,steglitz-zehlendorf
26,Ahlener Weg,1,,49,,U,6,20,4,20,Lifel,12207,,steglitz-zehlendorf
26,Ahlener Weg,2,,20,,G,6,20,4,20,Lifel,12207,,steglitz-zehlendorf
30,Ahornstraße,1,,21,,U,6,30,5,26,Zehld,14163,,steglitz-zehlendorf
32,Ahornstraße,1,A,31,,U,6,10,1,2,Stegl,12163,,steglitz-zehlendorf
30,Ahornstraße,2,,22,,G,6,30,5,26,Zehld,14163,,steglitz-zehlendorf
32,Ahornstraße,4,,32,,G,6,10,1,2,Stegl,12163,,steglitz-zehlendorf
34,Ahrenshooper Zeile,1,,73,,U,6,40,8,38,Schla,14129,,steglitz-zehlendorf
34,Ahrenshooper Zeile,2,,68,,G,6,40,8,38,Schla,14129,,steglitz-zehlendorf
39,Akazienstraße,1,,3,,U,6,20,4,21,Lifel,12207,,steglitz-zehlendorf
39,Akazienstraße,2,,6,,G,6,20,4,21,Lifel,12207,,steglitz-zehlendorf
44,Albertinenstraße,1,,31,,U,6,30,5,24,Zehld,14165,,steglitz-zehlendorf
44,Albertinenstraße,2,,30,,G,6,30,5,24,Zehld,14165,,steglitz-zehlendorf
47,Albiger Weg,1,,13,,U,6,40,7,37,Nikol,14129,,steglitz-zehlendorf
47,Albiger Weg,2,,22,,G,6,40,7,37,Nikol,14129,,steglitz-zehlendorf
50,Albrechts Teerofen,1,,45,,U,6,40,7,35,Wanns,14109,,steglitz-zehlendorf
50,Albrechts Teerofen,2,,72,,G,6,40,7,35,Wanns,14109,,steglitz-zehlendorf
51,Albrechtstraße,1,,11,,U,6,10,1,2,Stegl,12165,,steglitz-zehlendorf
51,Albrechtstraße,2,,10,,G,6,10,1,2,Stegl,12165,,steglitz-zehlendorf
51,Albrechtstraße,12,,28,,G,6,10,2,7,Stegl,12167,,steglitz-zehlendorf
51,Albrechtstraße,13,,27,,U,6,10,2,7,Stegl,12167,,steglitz-zehlendorf
51,Albrechtstraße,30,,60,B,G,6,10,2,6,Stegl,12167,,steglitz-zehlendorf
51,Albrechtstraße,31,,59,B,U,6,10,2,6,Stegl,12167,,steglitz-zehlendorf
51,Albrechtstraße,60,C,82,A,G,6,10,2,5,Stegl,12167,,steglitz-zehlendorf
51,Albrechtstraße,61,,83,A,U,6,10,2,5,Stegl,12167,,steglitz-zehlendorf
51,Albrechtstraße,87,,119,,U,6,10,2,8,Stegl,12167,,steglitz-zehlendorf
51,Albrechtstraße,92,,120,,G,6,10,2,8,Stegl,12167,,steglitz-zehlendorf
51,Albrechtstraße,121,,127,,U,6,10,1,2,Stegl,12165,,steglitz-zehlendorf
51,Albrechtstraße,122,,132,,G,6,10,1,2,Stegl,12165,,steglitz-zehlendorf
51,Albrechtstraße,129,,129,,U,6,10,2,8,Stegl,12165,,steglitz-zehlendorf
51,Albrechtstraße,131,,131,,U,6,10,1,2,Stegl,12165,,steglitz-zehlendorf
54,Albrecht-Thaer-Weg,1,,7,,U,6,40,8,44,Dahle,14195,,steglitz-zehlendorf
54,Albrecht-Thaer-Weg,2,,8,,G,6,40,8,44,Dahle,14195,,steglitz-zehlendorf
58,Alemannenstraße,1,,27,,U,6,40,7,37,Nikol,14129,,steglitz-zehlendorf
58,Alemannenstraße,2,,40,,G,6,40,7,37,Nikol,14129,,steglitz-zehlendorf
66,Alsbacher Weg,1,,23,,U,6,40,8,38,Zehld,14163,,steglitz-zehlendorf
