0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
6,Abendrotweg,3,,25,,U,7,60,15,46,Lirad,12307,,tempelhof-schoeneberg
6,Abendrotweg,4,,26,,G,7,60,15,46,Lirad,12307,,tempelhof-schoeneberg
6905,Adolf-Scheidt-Platz,1,,19,,U,7,40,7,21,Temph,12101,,tempelhof-schoeneberg
6905,Adolf-Scheidt-Platz,2,,20,,G,7,40,7,21,Temph,12101,,tempelhof-schoeneberg
31,Ahornstraße,1,,5,,U,7,10,1,2,Schön,10787,,tempelhof-schoeneberg
31,Ahornstraße,2,,6,,G,7,10,1,2,Schön,10787,,tempelhof-schoeneberg
33,Ahrensdorfer Straße,2,,18,,G,7,60,13,40,Marfe,12279,,tempelhof-schoeneberg
33,Ahrensdorfer Straße,19,,39,,U,7,60,13,41,Marfe,12279,,tempelhof-schoeneberg
38,Akazienstraße,1,,31,,U,7,20,4,9,Schön,10823,,tempelhof-schoeneberg
38,Akazienstraße,2,,30,,G,7,20,4,9,Schön,10823,,tempelhof-schoeneberg
41,Alarichstraße,1,,11,,U,7,40,8,26,Temph,12105,,tempelhof-schoeneberg
41,Alarichstraße,2,,10,,G,7,40,8,26,Temph,12105,,tempelhof-schoeneberg
41,Alarichstraße,12,,22,,G,7,40,8,25,Temph,12105,,tempelhof-schoeneberg
41,Alarichstraße,13,,23,,U,7,40,8,25,Temph,12105,,tempelhof-schoeneberg
42,Albanstraße,1,,29,,U,7,60,12,37,Marfe,12277,,tempelhof-schoeneberg
42,Albanstraße,2,,32,,G,7,60,12,37,Marfe,12277,,tempelhof-schoeneberg
46,Albertstraße,1,,23,,U,7,20,4,10,Schön,10827,,tempelhof-schoeneberg
46,Albertstraße,2,,20,,G,7,20,4,10,Schön,10827,,tempelhof-schoeneberg
45,Albestraße,1,,35,,U,7,30,5,17,Fried,12159,,tempelhof-schoeneberg
45,Albestraße,2,,36,,G,7,30,5,17,Fried,12159,,tempelhof-schoeneberg
6907,Alboinplatz,1,,15,,U,7,40,8,23,Temph,12105,,tempelhof-schoeneberg
6907,Alboinplatz,2,,14,,G,7,40,8,23,Temph,12105,,tempelhof-schoeneberg
6907,Alboinplatz,17,,19,,U,7,40,8,22,Schön,12105,,tempelhof-schoeneberg
6907,Alboinplatz,18,,18,,G,7,40,8,22,Schön,12105,,tempelhof-schoeneberg
48,Alboinstraße,1,,111,,U,7,40,8,23,Temph,12103,,tempelhof-schoeneberg
48,Alboinstraße,4,,4,,G,7,40,8,23,Temph,12103,,tempelhof-schoeneberg
48,Alboinstraße,14,,116,,G,7,40,8,22,Schön,12103,,tempelhof-schoeneberg
