0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,year,half_year,lor,key
01,10,01,01,3561,165,209,25,395,1271,375,403,718,1737,1542,2022,2,01100101,01100101-2022-2
01,10,01,02,2002,113,129,27,174,764,274,262,259,929,1090,2022,2,01100102,01100102-2022-2
01,10,01,03,5662,282,326,102,741,1791,653,747,1020,2661,2187,2022,2,01100103,01100103-2022-2
01,10,01,04,5029,260,397,137,801,1886,601,554,393,2316,2101,2022,2,01100104,01100104-2022-2
01,10,02,05,3009,147,178,52,390,1122,331,319,470,1426,1574,2022,2,01100205,01100205-2022-2
01,10,02,06,1915,100,112,41,190,652,280,248,292,932,745,2022,2,01100206,01100206-2022-2
01,10,02,07,8801,484,517,140,777,3259,1000,1040,1584,4321,3301,2022,2,01100207,01100207-2022-2
01,10,03,08,7384,441,476,115,674,3173,1046,711,748,3580,2547,2022,2,01100308,01100308-2022-2
01,10,03,09,12559,664,918,342,1214,4588,2124,1629,1080,6161,3580,2022,2,01100309,01100309-2022-2
01,10,03,10,10332,525,580,167,1108,4140,1250,1058,1504,4905,3970,2022,2,01100310,01100310-2022-2
01,10,03,11,9649,511,712,171,1181,2862,887,994,2331,4992,3296,2022,2,01100311,01100311-2022-2
01,10,03,12,10213,611,593,134,889,3934,1104,1084,1864,5020,3414,2022,2,01100312,01100312-2022-2
01,10,03,13,11160,605,689,177,1397,4040,1304,1233,1715,5498,3782,2022,2,01100313,01100313-2022-2
01,10,04,14,5556,502,438,106,465,2850,621,325,249,2716,2444,2022,2,01100414,01100414-2022-2
01,10,04,15,13339,768,1108,338,1410,5115,2289,1464,847,6571,4094,2022,2,01100415,01100415-2022-2
01,10,04,16,13527,864,1157,328,1050,5476,2399,1316,937,6772,3934,2022,2,01100416,01100416-2022-2
01,20,05,17,4078,242,318,97,600,1626,414,466,315,1824,1901,2022,2,01200517,01200517-2022-2
01,20,05,18,6970,363,434,138,1215,2757,751,665,647,3211,3119,2022,2,01200518,01200518-2022-2
01,20,05,19,9533,479,644,209,1315,3696,1070,999,1121,4450,3746,2022,2,01200519,01200519-2022-2
01,20,05,20,9548,457,592,160,1301,3538,1054,1215,1231,4509,2934,2022,2,01200520,01200520-2022-2
01,20,05,21,5307,263,397,143,781,1959,593,559,612,2393,2064,2022,2,01200521,01200521-2022-2
01,20,05,22,11621,568,727,254,1260,3610,1355,1729,2118,5911,2646,2022,2,01200522,01200522-2022-2
01,20,06,23,10969,599,707,223,1495,4472,1233,1203,1037,5184,3605,2022,2,01200623,01200623-2022-2
01,20,06,24,6504,534,422,90,765,3577,528,303,285,3034,3336,2022,2,01200624,01200624-2022-2
01,20,06,25,6970,368,624,198,900,2261,830,752,1037,3416,2450,2022,2,01200625,01200625-2022-2
01,20,06,26,5949,281,350,102,630,2032,750,776,1028,2927,1659,2022,2,01200626,01200626-2022-2
01,20,06,27,3424,262,388,113,430,925,353,411,542,1674,1230,2022,2,01200627,01200627-2022-2
01,20,06,28,3275,165,190,65,324,1129,474,431,497,1532,843,2022,2,01200628,01200628-2022-2
01,20,06,29,5956,224,266,90,969,1797,644,706,1260,2912,2038,2022,2,01200629,01200629-2022-2
01,30,07,30,7967,510,841,249,1217,2616,941,824,769,3745,3800,2022,2,01300730,01300730-2022-2
01,30,07,31,8826,537,775,269,1291,3091,983,903,977,4196,3550,2022,2,01300731,01300731-2022-2
01,30,07,32,9949,717,948,301,1346,3515,1191,949,982,4807,4103,2022,2,01300732,01300732-2022-2
01,30,07,33,11658,664,1096,339,1518,4089,1492,1215,1245,5609,4562,2022,2,01300733,01300733-2022-2
01,30,08,34,14379,1060,1619,546,1744,4371,1729,1494,1816,7194,4513,2022,2,01300834,01300834-2022-2
01,30,08,35,10872,625,982,281,1673,3075,1230,1240,1766,5535,3585,2022,2,01300835,01300835-2022-2
01,30,08,36,15051,929,1343,447,2236,5341,1801,1463,1491,7139,6341,2022,2,01300836,01300836-2022-2
01,40,09,37,10885,556,712,239,1262,3515,1285,1510,1806,5340,3528,2022,2,01400937,01400937-2022-2
01,40,09,38,9695,493,650,219,1162,3738,1089,1063,1281,4649,3404,2022,2,01400938,01400938-2022-2
01,40,09,39,6003,358,407,117,774,2237,666,660,784,2933,2317,2022,2,01400939,01400939-2022-2
01,40,09,40,6882,478,522,119,588,1822,786,983,1584,3637,1258,2022,2,01400940,01400940-2022-2
01,40,09,41,3898,220,217,59,383,965,374,486,1194,2040,1083,2022,2,01400941,01400941-2022-2
01,40,09,42,8746,452,532,180,1292,3461,972,949,908,4259,3361,2022,2,01400942,01400942-2022-2
01,40,10,43,7768,436,633,245,1207,2522,908,867,950,3714,3302,2022,2,01401043,01401043-2022-2
01,40,10,44,10274,643,881,285,1350,3900,1205,992,1018,4862,4655,2022,2,01401044,01401044-2022-2
01,40,10,45,5682,373,536,161,831,2101,674,547,459,2617,2599,2022,2,01401045,01401045-2022-2
01,40,10,46,8933,511,502,162,1278,3789,928,930,833,4202,2992,2022,2,01401046,01401046-2022-2
01,40,10,47,8054,457,551,193,1486,3349,821,636,561,3732,4120,2022,2,01401047,01401047-2022-2
01,40,10,48,9488,473,619,192,1559,3682,1066,999,898,4477,3846,2022,2,01401048,01401048-2022-2
01,40,10,49,6787,365,474,157,790,2168,753,872,1208,3354,2899,2022,2,01401049,01401049-2022-2
02,10,01,01,6923,398,602,186,924,2549,883,699,682,3288,3255,2022,2,02100101,02100101-2022-2
02,10,01,02,8816,542,842,322,1276,2655,1116,976,1087,4375,3261,2022,2,02100102,02100102-2022-2
02,10,01,03,5521,360,532,183,657,1795,687,657,650,2800,1804,2022,2,02100103,02100103-2022-2
02,10,01,04,5723,376,506,195,742,1710,822,709,663,2836,2180,2022,2,02100104,02100104-2022-2
02,10,01,05,9512,516,872,293,1173,2961,1283,1111,1303,4754,3420,2022,2,02100105,02100105-2022-2
02,10,01,06,4962,233,461,205,569,1474,675,674,671,2445,1612,2022,2,02100106,02100106-2022-2
02,20,02,07,2406,208,246,35,159,921,272,207,358,1203,631,2022,2,02200207,02200207-2022-2
02,20,02,08,5845,298,458,150,637,1920,802,817,763,2883,1696,2022,2,02200208,02200208-2022-2
02,20,02,09,10908,612,864,243,939,4014,1559,1413,1264,5385,2808,2022,2,02200209,02200209-2022-2
02,20,02,10,12221,662,842,248,1156,4555,1653,1702,1403,5963,3418,2022,2,02200210,02200210-2022-2
02,20,02,11,14783,770,897,322,1615,4888,2109,2345,1837,7403,3844,2022,2,02200211,02200211-2022-2
02,20,02,12,8510,525,744,216,843,2937,1205,1115,925,4241,2306,2022,2,02200212,02200212-2022-2
02,20,02,13,10173,524,687,195,964,3922,1390,1307,1184,5141,3036,2022,2,02200213,02200213-2022-2
02,30,03,14,7376,337,509,178,745,2430,1160,1074,943,3477,2676,2022,2,02300314,02300314-2022-2
02,30,03,15,8484,442,625,238,948,2851,1271,1200,909,4100,2931,2022,2,02300315,02300315-2022-2
02,30,03,16,4220,182,322,98,386,1465,628,576,563,2050,1286,2022,2,02300316,02300316-2022-2
02,30,04,17,8171,383,627,195,783,3099,1276,935,873,3907,2760,2022,2,02300417,02300417-2022-2
02,30,04,18,7755,387,520,150,734,2947,1217,983,817,3764,2420,2022,2,02300418,02300418-2022-2
02,30,04,19,10610,534,663,204,1085,4273,1553,1305,993,5073,3562,2022,2,02300419,02300419-2022-2
02,40,05,20,5856,327,414,142,453,1550,599,738,1633,3041,1404,2022,2,02400520,02400520-2022-2
