key,year,half_year,lor,total_population,-6,6-15,15-18,18-27,27-45,45-55,55-65,65+
01100101-2022-2,2022,2,01100101,3561,165,209,25,395,1271,375,403,718
01100102-2022-2,2022,2,01100102,2002,113,129,27,174,764,274,262,259
01100103-2022-2,2022,2,01100103,5662,282,326,102,741,1791,653,747,1020
01100104-2022-2,2022,2,01100104,5029,260,397,137,801,1886,601,554,393
01100205-2022-2,2022,2,01100205,3009,147,178,52,390,1122,331,319,470
01100206-2022-2,2022,2,01100206,1915,100,112,41,190,652,280,248,292
01100207-2022-2,2022,2,01100207,8801,484,517,140,777,3259,1000,1040,1584
01100308-2022-2,2022,2,01100308,7384,441,476,115,674,3173,1046,711,748
01100309-2022-2,2022,2,01100309,12559,664,918,342,1214,4588,2124,1629,1080
01100310-2022-2,2022,2,01100310,10332,525,580,167,1108,4140,1250,1058,1504
01100311-2022-2,2022,2,01100311,9649,511,712,171,1181,2862,887,994,2331
01100312-2022-2,2022,2,01100312,10213,611,593,134,889,3934,1104,1084,1864
01100313-2022-2,2022,2,01100313,11160,605,689,177,1397,4040,1304,1233,1715
01100414-2022-2,2022,2,01100414,5556,502,438,106,465,2850,621,325,249
01100415-2022-2,2022,2,01100415,13339,768,1108,338,1410,5115,2289,1464,847
01100416-2022-2,2022,2,01100416,13527,864,1157,328,1050,5476,2399,1316,937
01200517-2022-2,2022,2,01200517,4078,242,318,97,600,1626,414,466,315
01200518-2022-2,2022,2,01200518,6970,363,434,138,1215,2757,751,665,647
01200519-2022-2,2022,2,01200519,9533,479,644,209,1315,3696,1070,999,1121
01200520-2022-2,2022,2,01200520,9548,457,592,160,1301,3538,1054,1215,1231
01200521-2022-2,2022,2,01200521,5307,263,397,143,781,1959,593,559,612
01200522-2022-2,2022,2,01200522,11621,568,727,254,1260,3610,1355,1729,2118
01200623-2022-2,2022,2,01200623,10969,599,707,223,1495,4472,1233,1203,1037
01200624-2022-2,2022,2,01200624,6504,534,422,90,765,3577,528,303,285
01200625-2022-2,2022,2,01200625,6970,368,624,198,900,2261,830,752,1037
01200626-2022-2,2022,2,01200626,5949,281,350,102,630,2032,750,776,1028
01200627-2022-2,2022,2,01200627,3424,262,388,113,430,925,353,411,542
01200628-2022-2,2022,2,01200628,3275,165,190,65,324,1129,474,431,497
01200629-2022-2,2022,2,01200629,5956,224,266,90,969,1797,644,706,1260
01300730-2022-2,2022,2,01300730,7967,510,841,249,1217,2616,941,824,769
01300731-2022-2,2022,2,01300731,8826,537,775,269,1291,3091,983,903,977
01300732-2022-2,2022,2,01300732,9949,717,948,301,1346,3515,1191,949,982
01300733-2022-2,2022,2,01300733,11658,664,1096,339,1518,4089,1492,1215,1245
01300834-2022-2,2022,2,01300834,14379,1060,1619,546,1744,4371,1729,1494,1816
01300835-2022-2,2022,2,01300835,10872,625,982,281,1673,3075,1230,1240,1766
01300836-2022-2,2022,2,01300836,15051,929,1343,447,2236,5341,1801,1463,1491
01400937-2022-2,2022,2,01400937,10885,556,712,239,1262,3515,1285,1510,1806
01400938-2022-2,2022,2,01400938,9695,493,650,219,1162,3738,1089,1063,1281
01400939-2022-2,2022,2,01400939,6003,358,407,117,774,2237,666,660,784
01400940-2022-2,2022,2,01400940,6882,478,522,119,588,1822,786,983,1584
01400941-2022-2,2022,2,01400941,3898,220,217,59,383,965,374,486,1194
01400942-2022-2,2022,2,01400942,8746,452,532,180,1292,3461,972,949,908
01401043-2022-2,2022,2,01401043,7768,436,633,245,1207,2522,908,867,950
01401044-2022-2,2022,2,01401044,10274,643,881,285,1350,3900,1205,992,1018
01401045-2022-2,2022,2,01401045,5682,373,536,161,831,2101,674,547,459
01401046-2022-2,2022,2,01401046,8933,511,502,162,1278,3789,928,930,833
01401047-2022-2,2022,2,01401047,8054,457,551,193,1486,3349,821,636,561
01401048-2022-2,2022,2,01401048,9488,473,619,192,1559,3682,1066,999,898
01401049-2022-2,2022,2,01401049,6787,365,474,157,790,2168,753,872,1208
02100101-2022-2,2022,2,02100101,6923,398,602,186,924,2549,883,699,682
02100102-2022-2,2022,2,02100102,8816,542,842,322,1276,2655,1116,976,1087
02100103-2022-2,2022,2,02100103,5521,360,532,183,657,1795,687,657,650
02100104-2022-2,2022,2,02100104,5723,376,506,195,742,1710,822,709,663
02100105-2022-2,2022,2,02100105,9512,516,872,293,1173,2961,1283,1111,1303
02100106-2022-2,2022,2,02100106,4962,233,461,205,569,1474,675,674,671
02200207-2022-2,2022,2,02200207,2406,208,246,35,159,921,272,207,358
02200208-2022-2,2022,2,02200208,5845,298,458,150,637,1920,802,817,763
02200209-2022-2,2022,2,02200209,10908,612,864,243,939,4014,1559,1413,1264
02200210-2022-2,2022,2,02200210,12221,662,842,248,1156,4555,1653,1702,1403
02200211-2022-2,2022,2,02200211,14783,770,897,322,1615,4888,2109,2345,1837
02200212-2022-2,2022,2,02200212,8510,525,744,216,843,2937,1205,1115,925
02200213-2022-2,2022,2,02200213,10173,524,687,195,964,3922,1390,1307,1184
02300314-2022-2,2022,2,02300314,7376,337,509,178,745,2430,1160,1074,943
02300315-2022-2,2022,2,02300315,8484,442,625,238,948,2851,1271,1200,909
02300316-2022-2,2022,2,02300316,4220,182,322,98,386,1465,628,576,563
02300417-2022-2,2022,2,02300417,8171,383,627,195,783,3099,1276,935,873
02300418-2022-2,2022,2,02300418,7755,387,520,150,734,2947,1217,983,817
02300419-2022-2,2022,2,02300419,10610,534,663,204,1085,4273,1553,1305,993
02400520-2022-2,2022,2,02400520,5856,327,414,142,453,1550,599,738,1633
02400521-2022-2,2022,2,02400521,8278,520,593,144,749,3287,899,836,1250
02400522-2022-2,2022,2,02400522,11375,736,808,189,995,4850,1480,989,1328
02400623-2022-2,2022,2,02400623,13602,891,914,258,1572,4863,1324,1271,2509
02400624-2022-2,2022,2,02400624,11907,592,697,211,1587,4835,1567,1172,1246
02400625-2022-2,2022,2,02400625,1114,40,40,32,125,738,54,60,25
02500726-2022-2,2022,2,02500726,9345,537,633,115,927,4736,1148,712,537
02500727-2022-2,2022,2,02500727,6642,398,466,120,580,3158,860,549,511
02500728-2022-2,2022,2,02500728,10138,641,733,207,861,5020,1525,760,391
02500729-2022-2,2022,2,02500729,5520,370,448,108,466,2645,728,430,325
02500830-2022-2,2022,2,02500830,4047,217,261,54,413,2007,547,294,254
02500831-2022-2,2022,2,02500831,7970,462,560,119,743,3971,1045,646,424
02500832-2022-2,2022,2,02500832,9569,695,642,174,976,5072,1106,572,332
02500833-2022-2,2022,2,02500833,10280,583,526,124,1003,5610,1350,704,380
02500834-2022-2,2022,2,02500834,11466,730,867,197,1123,5563,1674,816,496
02500835-2022-2,2022,2,02500835,8211,492,503,111,879,4208,892,582,544
02500836-2022-2,2022,2,02500836,4992,490,511,118,263,1783,758,511,558
03100101-2022-2,2022,2,03100101,4697,363,462,89,367,1409,627,628,752
03100102-2022-2,2022,2,03100102,3335,221,262,72,294,933,346,401,806
03100103-2022-2,2022,2,03100103,9671,672,984,272,992,2378,962,1079,2332
03200204-2022-2,2022,2,03200204,2403,116,230,60,245,455,323,407,567
03200205-2022-2,2022,2,03200205,8800,469,837,250,879,1953,1349,1392,1671
03200206-2022-2,2022,2,03200206,6735,433,718,208,699,1675,1032,883,1087
03200207-2022-2,2022,2,03200207,11448,672,1219,357,833,2852,1780,1721,2014
03200308-2022-2,2022,2,03200308,5283,296,555,161,391,1163,790,975,952
03200309-2022-2,2022,2,03200309,5386,335,571,164,366,1229,771,913,1037
03200310-2022-2,2022,2,03200310,8056,495,821,280,614,1965,1104,1263,1514
03300411-2022-2,2022,2,03300411,11765,931,1428,373,1023,3181,1433,1518,1878
03300412-2022-2,2022,2,03300412,5247,274,440,127,349,958,702,1041,1356
03300413-2022-2,2022,2,03300413,3140,169,322,116,199,569,469,609,687
03300514-2022-2,2022,2,03300514,6964,340,748,214,404,1247,1005,1329,1677
03300515-2022-2,2022,2,03300515,50,3,6,3,3,10,0,12,13
03300516-2022-2,2022,2,03300516,8446,521,758,218,773,2159,1040,1368,1609
03300517-2022-2,2022,2,03300517,1114,39,79,29,59,160,148,230,370
03400618-2022-2,2022,2,03400618,4809,245,504,198,413,1008,767,891,783
03400619-2022-2,2022,2,03400619,10593,594,874,253,936,2431,1441,1693,2371
03400620-2022-2,2022,2,03400620,3517,173,355,145,256,689,577,539,783
03400721-2022-2,2022,2,03400721,11782,782,1399,414,962,3656,2078,1257,1234
03400722-2022-2,2022,2,03400722,3622,207,357,132,262,764,597,514,789
03400723-2022-2,2022,2,03400723,7146,527,773,191,604,2533,977,709,832
03400724-2022-2,2022,2,03400724,7691,485,720,197,657,1952,1079,1040,1561
03400725-2022-2,2022,2,03400725,7511,448,692,166,550,1738,871,1097,1949
03400826-2022-2,2022,2,03400826,6998,448,688,159,573,2142,917,858,1213
03400827-2022-2,2022,2,03400827,9683,535,788,227,751,3481,1454,1136,1311
03400828-2022-2,2022,2,03400828,4903,281,315,106,412,1833,584,558,814
03400829-2022-2,2022,2,03400829,6000,307,544,141,697,1693,759,695,1164
03400830-2022-2,2022,2,03400830,9313,521,713,199,784,2992,1441,1244,1419
03400831-2022-2,2022,2,03400831,0,0,0,0,0,0,0,0,0
03500932-2022-2,2022,2,03500932,6349,471,516,176,596,1930,712,836,1112
03500933-2022-2,2022,2,03500933,7667,396,662,212,603,2320,1037,969,1468
03500934-2022-2,2022,2,03500934,10321,711,885,206,849,4176,1454,1080,960
03500935-2022-2,2022,2,03500935,6621,466,633,212,644,2437,976,717,536
