key,year,half_year,lor,total_population,-6,6-15,15-18,18-27,27-45,45-55,55-65,65+
01011101-2018-1,2018,1,01011101,3269,153,127,32,502,999,348,389,719
01011102-2018-1,2018,1,01011102,185,4,9,3,15,51,36,40,27
01011103-2018-1,2018,1,01011103,5073,254,329,122,578,1430,682,770,908
01011104-2018-1,2018,1,01011104,4781,277,396,135,912,1661,629,426,345
01011105-2018-1,2018,1,01011105,1322,83,64,13,103,455,199,185,220
01011201-2018-1,2018,1,01011201,2387,106,149,61,279,708,326,354,404
01011202-2018-1,2018,1,01011202,635,30,39,9,43,240,89,93,92
01011203-2018-1,2018,1,01011203,1086,57,51,24,101,343,200,131,179
01011204-2018-1,2018,1,01011204,8117,432,401,104,769,2771,1057,973,1610
01011301-2018-1,2018,1,01011301,6841,453,390,84,639,2991,1043,605,636
01011302-2018-1,2018,1,01011302,12640,699,1016,291,1060,4985,2376,1238,975
01011303-2018-1,2018,1,01011303,9923,445,482,91,1251,3899,1272,940,1543
01011304-2018-1,2018,1,01011304,8765,469,530,173,829,2260,902,980,2622
01011305-2018-1,2018,1,01011305,8007,389,376,110,688,2611,1032,866,1935
01011306-2018-1,2018,1,01011306,10416,614,498,115,1416,3712,1382,1145,1534
01011401-2018-1,2018,1,01011401,17588,1244,1343,280,1720,7855,2788,1346,1012
01011402-2018-1,2018,1,01011402,13593,1040,1084,196,1001,6330,2315,831,796
01022101-2018-1,2018,1,01022101,3566,182,214,64,646,1333,465,377,285
01022102-2018-1,2018,1,01022102,6658,360,411,140,1237,2445,819,651,595
01022103-2018-1,2018,1,01022103,266,23,39,12,27,78,38,27,22
01022104-2018-1,2018,1,01022104,18736,989,1120,343,2798,6840,2392,2094,2160
01022105-2018-1,2018,1,01022105,5318,304,393,111,836,1934,632,569,539
01022106-2018-1,2018,1,01022106,11512,580,713,212,1298,3461,1664,1650,1934
01022201-2018-1,2018,1,01022201,10990,660,681,197,1763,4335,1388,991,975
01022202-2018-1,2018,1,01022202,2058,145,190,59,317,706,273,181,187
01022203-2018-1,2018,1,01022203,7021,489,645,161,1010,2183,858,674,1001
01022204-2018-1,2018,1,01022204,6008,323,340,96,707,1982,843,707,1010
01022205-2018-1,2018,1,01022205,3310,247,339,114,415,865,418,387,525
01022206-2018-1,2018,1,01022206,3048,147,203,57,354,967,478,358,484
01022207-2018-1,2018,1,01022207,5730,223,243,86,1007,1512,759,646,1254
01033101-2018-1,2018,1,01033101,26876,1981,2546,756,4044,9101,3340,2395,2713
01033102-2018-1,2018,1,01033102,12119,816,1031,338,1968,4145,1591,1005,1225
01033201-2018-1,2018,1,01033201,13826,1114,1573,482,1721,4207,1709,1325,1695
01033202-2018-1,2018,1,01033202,9735,648,904,253,1021,2775,1243,1125,1766
01033203-2018-1,2018,1,01033203,14513,990,1278,445,2294,4969,1807,1260,1470
01044101-2018-1,2018,1,01044101,20775,1142,1353,384,2871,6708,2771,2451,3095
01044102-2018-1,2018,1,01044102,16564,956,983,310,1797,4728,2072,2025,3693
01044103-2018-1,2018,1,01044103,8715,494,531,198,1331,3338,1127,908,788
01044201-2018-1,2018,1,01044201,24168,1535,2116,693,3913,8360,3036,2091,2424
01044202-2018-1,2018,1,01044202,16972,933,1032,328,3101,6968,1915,1489,1206
01044203-2018-1,2018,1,01044203,16498,919,1205,354,2303,5819,2025,1655,2218
02010101-2018-1,2018,1,02010101,6628,401,534,178,1153,2339,826,605,592
02010102-2018-1,2018,1,02010102,13473,930,1376,452,1737,4030,1843,1333,1772
02010103-2018-1,2018,1,02010103,15349,1104,1587,513,1935,4407,2224,1558,2021
02010104-2018-1,2018,1,02010104,5000,269,541,179,586,1487,738,599,601
02020201-2018-1,2018,1,02020201,1306,149,103,18,80,562,162,123,109
02020202-2018-1,2018,1,02020202,6003,388,497,138,683,2030,916,706,645
02020203-2018-1,2018,1,02020203,10999,734,753,172,1062,4201,1622,1316,1139
02020204-2018-1,2018,1,02020204,12753,787,804,262,1360,4876,1900,1536,1228
02020205-2018-1,2018,1,02020205,14843,800,968,328,1580,5134,2451,2017,1565
02020206-2018-1,2018,1,02020206,19024,1250,1444,387,1876,7246,2775,2163,1883
02030301-2018-1,2018,1,02030301,9043,466,705,235,1013,3181,1454,992,997
02030302-2018-1,2018,1,02030302,13115,743,1011,326,1386,4802,1977,1544,1326
02030401-2018-1,2018,1,02030401,15362,939,1037,302,1555,6268,2307,1617,1337
02030402-2018-1,2018,1,02030402,11112,654,719,211,1190,4627,1654,1145,912
02040501-2018-1,2018,1,02040501,5350,254,376,103,357,1204,669,665,1722
02040502-2018-1,2018,1,02040502,7333,427,416,104,719,2717,894,707,1349
02040503-2018-1,2018,1,02040503,11161,816,620,142,1005,4970,1389,880,1339
