,key,district_id,structure_type_id,land_use_id,area_size
0,1200661411000300,6,0,110,655.6
1,1400778561000000,8,0,110,3076.98
2,1200643711000700,6,0,110,1744.79
3,1601328011000000,9,0,110,95.89
4,2000898011000000,12,0,110,1962063.93
5,200018751000000,1,0,110,34933.33
6,1400778531000000,8,0,110,5325.14
7,1400830771000000,8,10,10,14339.39
8,800376311000400,5,0,110,9166.76
9,1200678551000000,6,0,110,4265.66
10,1200678521000000,6,0,110,8664.76
11,800270061003100,5,0,110,11166.18
12,2201730281000000,11,10,10,23377.56
13,1400830531000000,8,10,10,21803.93
14,2301911341000000,10,10,10,19535.84
15,2101860861000000,10,10,10,19393.23
16,2301956151000000,10,8,10,4654.66
17,2201770851000000,11,10,10,55614.71
18,2301902021000000,10,10,10,11017.97
19,2000890391000000,12,10,10,9468.89
20,1601420031001200,9,18,100,285489.1
21,800288641000000,5,0,110,22133.8
22,2201740131002400,11,18,121,126672.73
23,800298001000000,5,0,110,1206.46
24,1801576321001000,3,10,10,6251.19
25,800277761001000,5,0,110,17554.0
26,1601386171000100,9,10,10,13782.36
27,101040021000100,1,8,21,11544.75
28,1901680041001000,3,18,121,13929.81
29,1901676251000800,3,18,121,61232.11
30,200058711000000,1,0,110,6128.08
31,1300742521000000,7,10,10,5657.68
32,1000520021002600,6,18,100,10684.65
33,2301890531000000,10,10,10,15655.13
34,1000530661000100,6,0,110,588.18
35,800380571000200,5,0,110,1999.45
36,1601398021000000,9,0,110,70.26
37,1000511331000000,6,10,21,3500.17
38,800270071003200,5,18,100,6808.2
39,800396281000400,5,18,100,7081.85
40,1000520021001300,6,18,100,6249.65
41,1901676371002100,3,10,10,26521.66
42,2301900381000000,10,10,10,19830.52
43,1000538611000000,6,0,110,3600.54
44,300091801000000,1,18,150,30800.04
45,2000910881000000,12,10,10,35832.6
46,700188501000000,4,0,110,87728.76
47,700254711000000,4,10,10,3962.54
48,1601440461000000,9,10,10,14747.74
49,2301890301000000,10,10,10,10230.88
50,2101880641000000,10,10,10,28692.31
51,1400831901000000,8,10,10,29656.37
52,1300706251000300,7,0,110,230.97
53,1501266881000000,9,10,10,5425.14
54,1801590311000100,3,10,10,11939.36
55,1300730641000100,7,10,10,20132.96
56,1501270441000000,9,10,10,9424.0
57,1901650021000400,3,10,10,13408.34
58,1400768511000000,8,0,110,15293.05
59,1801560481000100,3,10,10,11127.41
60,1601386001000000,9,10,10,2916.83
61,1300730841000700,7,18,160,11989.43
62,2101861011000200,10,10,10,6738.32
63,1501261141000000,9,10,10,1831.78
64,800376801000000,5,10,10,5291.22
65,2201750251000200,11,8,10,7350.81
66,2301911921000200,10,10,10,34370.0
67,2301916081000200,10,17,50,15749.25
68,800324641000000,5,10,10,29347.79
69,900471091003600,4,18,100,1573.28
70,800298011000000,5,0,110,628.86
71,1901670181000000,3,10,10,7581.87
72,2201790201000000,11,10,10,14930.52
73,800270011003000,5,18,100,10225.19
74,1801536061000000,3,14,30,8046.72
75,2301901961000000,10,10,10,6466.81
76,2101880881000000,10,10,10,28888.27
77,2301901401000000,10,10,10,21548.91
78,800298021000000,5,0,110,1047.08
79,1701466081000000,11,10,10,7299.6
80,1300741991000000,7,10,10,23710.52
81,1601420041000900,9,18,100,95127.86
82,1200643901000300,6,10,10,11329.31
83,2000961771000000,12,10,10,14994.27
84,1501266891000000,9,10,10,5613.24
85,101030041000300,1,14,30,21639.3
86,2301901081000000,10,10,10,55210.79
87,1601420041000600,9,18,100,17745.12
88,2000900181000000,12,10,10,33925.47
89,1801571321000000,3,10,10,7556.74
90,1801571051000000,3,10,10,19807.39
91,800376201000000,5,10,10,12748.92
92,1801530061000000,3,10,10,17779.0
93,2301900371000000,10,10,10,21002.14
94,1601328031000000,9,0,110,1250.41
95,1801576021000200,3,10,10,4988.15
96,1000520021001700,6,18,100,19566.62
97,1901676131000000,3,8,10,19373.94
98,2101860101000300,10,0,110,8881.37
99,1501270571000000,9,10,10,16102.24
100,1400836791000200,8,10,10,27701.95
101,1501270321000000,9,10,10,9592.87
102,1501266561000100,9,10,10,1885.01
103,1601420061000300,9,18,100,85287.9
104,2000910821000000,12,10,10,17785.58
105,1601391581000000,9,10,10,20196.27
106,1601380291000000,9,10,10,51998.85
107,2000910341000000,12,10,10,6956.83
108,2000910371000000,12,10,10,27613.88
109,2000916291000200,12,0,110,1177.21
110,600178521000000,2,0,110,3628.04
111,1000520911002100,6,18,100,13097.72
112,1000536251007000,6,18,100,3149.98
113,1901638041000000,3,0,110,15613.17
114,800371491000000,5,10,10,15662.59
115,1601320481000000,9,18,100,7577.08
116,2000892041000300,12,18,100,29131.43
117,1000500481000000,6,10,10,9618.72
118,1000500471000000,6,10,10,9627.37
119,1000530161000000,6,10,10,13557.99
